 Date,CO1 Open,CO1 Low,CO1 High,CO1 Close,CO1 Adj. Close
12/31/2019,66.6,65.65,67.03,66.23,66.23
12/30/2019,66.92,66.1,67.68,66.61,66.61
12/29/2019,66.75,66.55,66.93,66.91,66.91
12/27/2019,66.76,66.3,67.13,66.85,66.85
12/26/2019,66.15,66.05,66.94,66.76,66.76
12/25/2019,65.85,65.84,66.39,66.14,66.14
12/24/2019,65.44,65.38,66.17,66.01,66.01
12/23/2019,64.98,64.79,65.75,65.48,65.48
12/20/2019,66.56,64.73,66.75,65.04,65.04
12/19/2019,66.2,66.01,66.68,66.55,66.55
12/18/2019,65.84,65.44,66.45,66.16,66.16
12/17/2019,65.3,64.98,66.27,65.86,65.86
12/16/2019,64.96,64.87,65.74,65.34,65.34
12/15/2019,64.97,64.51,65.04,65.02,65.02
12/13/2019,64.66,64.55,65.64,64.89,64.89
12/12/2019,63.98,63.91,64.72,64.53,64.53
12/11/2019,64.12,63.09,64.13,63.97,63.97
12/10/2019,63.97,63.64,64.65,64.13,64.13
12/9/2019,64.19,63.51,64.61,64,64
12/8/2019,64.32,63.7,64.41,64.29,64.29
12/6/2019,63.36,62.78,64.86,64.29,64.29
12/5/2019,63.14,62.73,63.98,63.31,63.31
12/4/2019,61.14,60.94,63.46,63.12,63.12
12/3/2019,61,60.21,61.44,61.13,61.13
12/2/2019,61.22,60.71,62.16,61.02,61.02
12/1/2019,60.84,60.56,61.13,61.1,61.1
11/29/2019,63.91,60.31,63.91,60.56,60.56
11/28/2019,63.91,63.09,64.03,63.12,63.12
11/27/2019,64.07,63.53,64.62,63.94,63.94
11/26/2019,63.6,63.42,64.23,64.1,64.1
11/25/2019,63.58,62.95,63.89,63.59,63.59
11/24/2019,63.6,63.54,63.6,63.57,63.57
11/22/2019,63.69,63,64.17,63.58,63.58
11/21/2019,62.27,61.87,63.9,63.74,63.74
11/20/2019,60.86,60.45,62.87,62.38,62.38
11/19/2019,62.38,60.58,62.5,60.82,60.82
11/18/2019,63.38,61.83,63.54,62.31,62.31
11/17/2019,63.4,63.36,63.42,63.42,63.42
11/15/2019,62.43,61.67,63.56,63.4,63.4
11/14/2019,62.61,62.08,63.19,62.35,62.35
11/13/2019,61.85,61.22,62.74,62.37,62.37
11/12/2019,62.11,61.82,62.85,62.06,62.06
11/11/2019,62.6,61.57,62.76,62.18,62.18
11/10/2019,62.52,62.31,62.53,62.45,62.45
11/8/2019,62.29,60.66,62.7,62.51,62.51
11/7/2019,61.73,61.65,62.89,62.29,62.29
11/6/2019,62.78,61.59,63.32,61.74,61.74
11/5/2019,62.04,61.85,63.19,62.96,62.96
11/4/2019,61.8,61.28,62.78,62.13,62.13
11/3/2019,61.73,61.71,61.74,61.72,61.72
11/1/2019,59.45,59.4,61.82,61.69,61.69
10/31/2019,60.57,60.07,61.13,60.23,60.23
10/30/2019,61.6,60.45,61.93,60.61,60.61
10/29/2019,61.61,60.66,61.98,61.59,61.59
10/28/2019,62.04,61.19,62.34,61.57,61.57
10/27/2019,62.17,61.05,62.2,62.11,62.11
10/25/2019,61.5,60.93,62.11,62.02,62.02
10/24/2019,60.99,60.64,61.9,61.67,61.67
10/23/2019,59.48,58.85,61.3,61.17,61.17
10/22/2019,59.05,58.75,60.26,59.7,59.7
10/21/2019,59.23,58.26,59.55,58.96,58.96
10/20/2019,59.2,59,59.32,59.27,59.27
10/18/2019,59.79,58.9,60.35,59.16,59.16
10/17/2019,58.99,58.69,60.04,59.91,59.91
10/16/2019,58.9,58.36,59.75,59.42,59.42
10/15/2019,59.3,58,59.68,58.74,58.74
10/14/2019,60.69,58.5,60.73,59.35,59.35
10/13/2019,60.5,59.26,60.69,60.58,60.58
10/11/2019,59.53,59.21,60.69,60.51,60.51
10/10/2019,58.04,57.8,59.6,59.1,59.1
10/9/2019,58.02,57.91,59.35,58.32,58.32
10/8/2019,58.47,57.38,58.92,58.24,58.24
10/7/2019,58.02,58.02,59.68,58.35,58.35
10/6/2019,58.28,57.59,58.34,58.3,58.3
10/4/2019,57.69,57.67,58.96,58.37,58.37
10/3/2019,57.54,56.15,57.99,57.71,57.71
10/2/2019,59.25,57.22,59.5,57.69,57.69
10/1/2019,59.38,58.41,60.1,58.89,58.89
9/30/2019,62.24,60.73,62.24,60.78,60.78
9/29/2019,62.19,60.69,62.26,62.1,62.1
9/27/2019,62.48,60.76,62.75,61.91,61.91
9/26/2019,62.58,61.45,62.92,62.74,62.74
9/25/2019,62.44,61.23,62.81,62.39,62.39
9/24/2019,64.4,62.3,64.6,63.1,63.1
9/23/2019,65.23,63.53,65.5,64.77,64.77
9/22/2019,65.05,63.94,65.33,65,65
9/20/2019,65,64.05,65.28,64.28,64.28
9/19/2019,63.51,63.46,65.57,64.4,64.4
9/18/2019,64.23,63.04,64.99,63.6,63.6
9/17/2019,68.15,63.55,69.26,64.55,64.55
9/16/2019,66.45,64.75,71.95,69.02,69.02
9/15/2019,67.88,67.72,68.21,68.17,68.17
9/13/2019,60.45,59.6,60.81,60.22,60.22
9/12/2019,61.16,58.92,61.39,60.38,60.38
9/11/2019,62.88,60.52,63.27,60.81,60.81
9/10/2019,62.82,62.17,63.78,62.38,62.38
9/9/2019,61.6,61.57,63,62.59,62.59
9/8/2019,61.85,61.02,61.95,61.86,61.86
9/6/2019,60.81,59.4,61.88,61.54,61.54
9/5/2019,60.49,60.25,62.4,60.95,60.95
9/4/2019,58.17,58.13,60.96,60.7,60.7
9/3/2019,58.54,57.23,58.87,58.26,58.26
9/2/2019,58.8,58.1,59.26,58.66,58.66
9/1/2019,58.84,58.59,59.09,58.86,58.86
8/30/2019,60.98,60.25,61.17,60.43,60.43
8/29/2019,60.48,59.98,61.19,61.08,61.08
8/28/2019,60.04,59.8,61,60.49,60.49
8/27/2019,58.8,58.51,60.17,59.51,59.51
8/26/2019,58.35,58.24,60.17,58.7,58.7
8/25/2019,58.55,58.01,58.67,58.49,58.49
8/23/2019,60.11,58.3,60.29,59.34,59.34
8/22/2019,60.43,59.47,60.89,59.92,59.92
8/21/2019,60.11,60.07,61.41,60.3,60.3
8/20/2019,59.68,58.95,60.32,60.03,60.03
8/19/2019,58.72,58.64,59.92,59.74,59.74
8/18/2019,58.94,58.1,59.12,59.12,59.12
8/16/2019,58.41,58.28,59.5,58.64,58.64
8/15/2019,59.07,57.67,59.42,58.23,58.23
8/14/2019,61.07,58.21,61.08,59.48,59.48
8/13/2019,58.47,58,61.5,61.3,61.3
8/12/2019,58.3,57.88,58.88,58.57,58.57
8/11/2019,58.34,56.29,58.49,58.25,58.25
8/9/2019,57.74,57.11,59.1,58.53,58.53
8/8/2019,57.48,56.77,58.01,57.38,57.38
8/7/2019,58.68,55.88,59.23,56.23,56.23
8/6/2019,59.56,58.55,60.56,58.94,58.94
8/5/2019,61.46,59.66,61.56,59.81,59.81
8/4/2019,61.38,61.13,61.55,61.31,61.31
8/2/2019,61.16,60.98,62.95,61.89,61.89
8/1/2019,64.09,60.02,64.54,60.5,60.5
7/31/2019,64.95,64.95,65.42,65.17,65.17
7/30/2019,63.91,63.9,65.14,64.72,64.72
7/29/2019,63.32,62.92,63.9,63.71,63.71
7/28/2019,63.19,63.13,63.4,63.18,63.18
7/26/2019,63.28,63.01,63.96,63.46,63.46
7/25/2019,63.21,63.01,64.23,63.39,63.39
7/24/2019,64.13,62.59,64.66,63.18,63.18
7/23/2019,63.26,62.66,64.46,63.83,63.83
7/22/2019,63.05,62.77,64.03,63.26,63.26
7/21/2019,63.34,62.3,63.38,63.36,63.36
7/19/2019,62.5,61.83,63.37,62.47,62.47
7/18/2019,63.52,61.29,64.46,61.93,61.93
7/17/2019,64.44,63.22,65.28,63.66,63.66
7/16/2019,66.31,63.82,67.09,64.35,64.35
7/15/2019,66.87,66.11,67.47,66.48,66.48
7/14/2019,66.83,66.48,66.87,66.74,66.74
7/12/2019,66.83,66.51,67.29,66.72,66.72
7/11/2019,66.81,66.43,67.65,66.52,66.52
7/10/2019,64.78,64.63,67.12,67.01,67.01
7/9/2019,63.81,63.76,64.75,64.16,64.16
7/8/2019,64.34,63.79,65.14,64.11,64.11
7/7/2019,64.44,64.04,64.54,64.49,64.49
7/5/2019,63.27,62.91,64.52,64.23,64.23
7/4/2019,63.88,62.95,64.07,63.3,63.3
7/3/2019,62.9,62.09,64.01,63.82,63.82
7/2/2019,64.8,62.22,65.51,62.4,62.4
7/1/2019,65.05,64.22,66.75,65.06,65.06
6/30/2019,65.76,64.53,66.03,65.83,65.83
6/28/2019,66.51,66.08,66.84,66.55,66.55
6/27/2019,66.05,65.63,66.82,66.55,66.55
6/26/2019,65.8,65.6,66.85,66.49,66.49
6/25/2019,64.89,64.17,65.98,65.05,65.05
6/24/2019,65.5,64.08,65.79,64.86,64.86
6/23/2019,65.44,64.9,65.79,65.59,65.59
6/21/2019,64.86,64,65.76,65.2,65.2
6/20/2019,62.45,62.4,64.82,64.45,64.45
