 Date,DAX_EC Open,DAX_EC Low,DAX_EC High,DAX_EC Close,DAX_EC Adj. Close,DAX_EC SMA (200D),DAX_EC SMA (50D)
12/30/2019,"13,290.71","13,119.19","13,305.71","13,135.20","13,135.20","12,343.74","13,112.13"
12/27/2019,"13,350.68","13,303.89","13,379.90","13,321.40","13,321.40","12,336.00","13,102.83"
12/23/2019,"13,322.40","13,285.00","13,332.90","13,298.78","13,298.78","12,327.26","13,089.00"
12/20/2019,"13,230.45","13,210.47","13,312.53","13,290.05","13,290.05","12,318.38","13,072.75"
12/19/2019,"13,235.74","13,139.24","13,251.25","13,203.24","13,203.24","12,309.65","13,057.18"
12/18/2019,"13,250.99","13,212.99","13,284.99","13,230.99","13,230.99","12,300.92","13,036.40"
12/17/2019,"13,393.90","13,269.91","13,396.40","13,291.90","13,291.90","12,292.36","13,013.67"
12/16/2019,"13,360.95","13,342.45","13,428.44","13,402.94","13,402.94","12,283.84","12,987.23"
12/13/2019,"13,395.35","13,253.37","13,423.36","13,270.37","13,270.37","12,274.93","12,961.12"
12/12/2019,"13,167.56","13,105.07","13,287.81","13,221.64","13,221.64","12,266.54","12,935.97"
12/11/2019,"13,075.43","13,042.70","13,169.77","13,146.74","13,146.74","12,258.44","12,910.05"
12/10/2019,"13,065.83","12,886.55","13,091.71","13,070.72","13,070.72","12,250.28","12,892.39"
12/9/2019,"13,154.88","13,096.70","13,165.85","13,100.86","13,100.86","12,242.37","12,879.53"
12/6/2019,"13,104.27","13,049.74","13,172.71","13,168.21","13,168.21","12,234.56","12,865.14"
12/5/2019,"13,163.36","13,062.27","13,191.53","13,076.42","13,076.42","12,226.25","12,847.54"
12/4/2019,"12,998.66","12,995.32","13,157.36","13,140.57","13,140.57","12,218.16","12,830.70"
12/3/2019,"13,039.61","12,927.07","13,086.03","12,989.29","12,989.29","12,209.57","12,814.03"
12/2/2019,"13,256.16","12,950.57","13,339.63","12,981.07","12,981.07","12,201.63","12,801.09"
11/29/2019,"13,184.72","13,163.22","13,292.30","13,245.87","13,245.87","12,193.27","12,790.83"
11/28/2019,"13,247.39","13,213.38","13,259.39","13,240.77","13,240.77","12,183.54","12,775.07"
11/27/2019,"13,299.08","13,218.56","13,316.10","13,280.14","13,280.14","12,173.84","12,758.04"
11/26/2019,"13,255.50","13,191.86","13,259.49","13,243.36","13,243.36","12,162.88","12,739.89"
11/25/2019,"13,247.51","13,210.25","13,268.97","13,246.45","13,246.45","12,152.50","12,722.63"
11/22/2019,"13,151.50","13,117.23","13,245.03","13,159.80","13,159.80","12,141.90","12,707.07"
11/21/2019,"13,090.93","13,042.38","13,170.99","13,169.53","13,169.53","12,131.18","12,692.08"
11/20/2019,"13,134.10","13,070.00","13,183.51","13,175.96","13,175.96","12,119.86","12,675.87"
11/19/2019,"13,232.07","13,187.62","13,376.57","13,217.12","13,217.12","12,109.09","12,657.73"
11/18/2019,"13,255.78","13,137.88","13,282.41","13,207.01","13,207.01","12,099.63","12,637.91"
11/15/2019,"13,251.80","13,171.85","13,263.31","13,229.86","13,229.86","12,090.44","12,617.60"
11/14/2019,"13,198.33","13,159.69","13,219.30","13,180.23","13,180.23","12,080.17","12,595.54"
11/13/2019,"13,244.05","13,139.25","13,273.82","13,230.07","13,230.07","12,070.17","12,572.44"
11/12/2019,"13,243.53","13,214.66","13,308.26","13,283.51","13,283.51","12,059.89","12,546.05"
11/11/2019,"13,170.18","13,144.09","13,225.62","13,198.37","13,198.37","12,049.38","12,519.46"
11/8/2019,"13,248.62","13,195.83","13,278.18","13,228.56","13,228.56","12,039.48","12,494.28"
11/7/2019,"13,258.26","13,227.37","13,300.76","13,289.46","13,289.46","12,029.39","12,466.48"
11/6/2019,"13,150.94","13,110.91","13,187.66","13,179.89","13,179.89","12,019.35","12,434.71"
11/5/2019,"13,134.33","13,112.65","13,166.08","13,148.50","13,148.50","12,009.10","12,405.72"
11/4/2019,"13,022.95","13,019.18","13,171.17","13,136.28","13,136.28","11,998.72","12,375.91"
11/1/2019,"12,912.09","12,896.72","12,992.07","12,961.05","12,961.05","11,988.49","12,345.41"
10/31/2019,"12,937.59","12,795.09","12,953.34","12,866.79","12,866.79","11,979.36","12,321.13"
10/30/2019,"12,929.42","12,830.33","12,944.26","12,910.23","12,910.23","11,971.06","12,299.85"
10/29/2019,"12,946.34","12,897.34","12,951.88","12,939.62","12,939.62","11,961.10","12,274.67"
10/28/2019,"12,897.40","12,892.84","12,986.49","12,941.71","12,941.71","11,951.06","12,250.19"
10/25/2019,"12,886.42","12,834.00","12,895.85","12,894.51","12,894.51","11,940.81","12,222.61"
10/24/2019,"12,860.63","12,820.67","12,914.24","12,872.10","12,872.10","11,930.61","12,192.97"
10/23/2019,"12,702.92","12,699.85","12,819.22","12,798.19","12,798.19","11,920.67","12,165.38"
10/22/2019,"12,757.73","12,730.70","12,791.31","12,754.69","12,754.69","11,911.29","12,144.42"
10/21/2019,"12,661.93","12,646.28","12,787.35","12,747.96","12,747.96","11,901.98","12,122.92"
10/18/2019,"12,637.01","12,603.17","12,700.38","12,633.60","12,633.60","11,892.26","12,101.84"
10/17/2019,"12,655.32","12,647.86","12,814.49","12,654.95","12,654.95","11,882.83","12,086.07"
10/16/2019,"12,644.18","12,603.83","12,698.37","12,670.11","12,670.11","11,873.40","12,065.98"
10/15/2019,"12,565.68","12,511.90","12,682.40","12,629.79","12,629.79","11,862.13","12,043.93"
10/14/2019,"12,468.78","12,387.95","12,495.24","12,486.56","12,486.56","11,851.88","12,024.51"
10/11/2019,"12,248.88","12,240.94","12,511.65","12,511.65","12,511.65","11,842.24","12,012.23"
10/10/2019,"12,082.89","12,029.46","12,202.71","12,164.20","12,164.20","11,831.59","12,007.06"
10/9/2019,"11,973.82","11,953.12","12,165.53","12,094.26","12,094.26","11,823.94","12,007.55"
10/8/2019,"12,097.89","11,933.02","12,097.94","11,970.20","11,970.20","11,816.52","12,008.61"
10/7/2019,"12,008.77","11,969.32","12,105.09","12,097.43","12,097.43","11,810.50","12,017.56"
10/4/2019,"11,958.31","11,878.98","12,012.91","12,012.81","12,012.81","11,803.72","12,024.01"
10/2/2019,"12,221.74","11,925.25","12,226.86","11,925.25","11,925.25","11,797.52","12,030.99"
10/1/2019,"12,469.67","12,263.83","12,497.28","12,263.83","12,263.83","11,792.22","12,042.95"
9/30/2019,"12,367.81","12,346.94","12,441.03","12,428.08","12,428.08","11,785.53","12,047.48"
9/27/2019,"12,327.79","12,324.71","12,404.47","12,380.94","12,380.94","11,778.03","12,044.71"
9/26/2019,"12,227.77","12,223.29","12,313.15","12,288.54","12,288.54","11,770.03","12,042.29"
9/25/2019,"12,250.08","12,141.82","12,261.06","12,234.18","12,234.18","11,761.70","12,041.08"
9/24/2019,"12,368.96","12,307.15","12,375.31","12,307.15","12,307.15","11,754.47","12,043.22"
9/23/2019,"12,432.30","12,264.14","12,441.02","12,342.33","12,342.33","11,746.99","12,045.69"
9/20/2019,"12,462.57","12,418.50","12,490.84","12,468.01","12,468.01","11,741.28","12,046.59"
9/19/2019,"12,355.92","12,354.83","12,466.78","12,457.70","12,457.70","11,735.61","12,043.70"
9/18/2019,"12,361.23","12,354.49","12,416.05","12,389.62","12,389.62","11,730.65","12,041.19"
9/17/2019,"12,370.96","12,303.51","12,392.97","12,372.61","12,372.61","11,724.99","12,040.86"
9/16/2019,"12,387.68","12,362.98","12,421.25","12,380.31","12,380.31","11,719.62","12,042.14"
9/13/2019,"12,412.72","12,408.93","12,494.25","12,468.53","12,468.53","11,714.21","12,045.41"
9/12/2019,"12,399.40","12,311.81","12,471.83","12,410.25","12,410.25","11,708.41","12,047.41"
9/11/2019,"12,341.84","12,317.61","12,394.28","12,359.07","12,359.07","11,703.14","12,051.80"
