 Date,DXY Close,DXY Adj. Close,DXY vs SPY Correlation,DXY Beta (DXY:SPY)
12/31/2019,96.71,96.71,0.1,-0.02
12/30/2019,96.8,96.8,-0.14,-0.02
12/29/2019,96.96,96.96,,
12/27/2019,97.43,97.43,-0.15,-0.02
12/26/2019,97.63,97.63,-0.14,-0.02
12/25/2019,97.69,97.69,,
12/24/2019,97.69,97.69,-0.13,-0.01
12/23/2019,97.66,97.66,-0.01,0
12/22/2019,97.68,97.68,,
12/20/2019,97.43,97.43,0,-0.01
12/19/2019,97.34,97.34,0,0
12/18/2019,97.34,97.34,-0.01,0
12/17/2019,97.07,97.07,0,0
12/16/2019,97.04,97.04,-0.1,0
12/15/2019,97.13,97.13,,
12/13/2019,96.8,96.8,-0.16,0
12/12/2019,97.06,97.06,0.01,0
12/11/2019,97.52,97.52,0.01,0
12/10/2019,97.63,97.63,0,0
12/9/2019,97.7,97.7,0.06,0
12/8/2019,97.68,97.68,,
12/6/2019,97.38,97.38,0.17,0
12/5/2019,97.55,97.55,0.21,0
12/4/2019,97.77,97.77,0.25,0
12/3/2019,97.91,97.91,-0.02,0
12/2/2019,98.31,98.31,-0.1,0
12/1/2019,98.29,98.29,,
11/29/2019,98.32,98.32,-0.25,0
11/28/2019,98.33,98.33,,
11/27/2019,98.34,98.34,-0.08,0
11/26/2019,98.32,98.32,-0.09,0
11/25/2019,98.25,98.25,-0.26,0
11/24/2019,98.26,98.26,,
11/22/2019,97.94,97.94,-0.2,0
11/21/2019,97.86,97.86,-0.15,0
11/20/2019,97.89,97.89,-0.13,-0.01
11/19/2019,97.81,97.81,-0.13,-0.01
11/18/2019,97.91,97.91,-0.11,-0.01
11/17/2019,97.96,97.96,,
11/15/2019,98.14,98.14,-0.1,-0.01
11/14/2019,98.4,98.4,0.11,0
11/13/2019,98.33,98.33,0.09,0
11/12/2019,98.23,98.23,0.11,-0.01
11/11/2019,98.33,98.33,0.14,-0.01
11/10/2019,98.35,98.35,,
11/8/2019,98.12,98.12,0.17,-0.01
11/7/2019,97.98,97.98,0.01,-0.01
11/6/2019,97.93,97.93,0.05,-0.01
11/5/2019,97.58,97.58,0.25,-0.01
11/4/2019,97.21,97.21,0.04,-0.01
11/3/2019,97.21,97.21,,
11/1/2019,97.22,97.22,0.05,-0.02
10/31/2019,97.35,97.35,-0.05,-0.02
10/30/2019,97.7,97.7,-0.06,-0.01
10/29/2019,97.79,97.79,0.1,-0.01
10/28/2019,97.85,97.85,-0.11,-0.01
10/27/2019,97.82,97.82,,
10/25/2019,97.69,97.69,-0.14,-0.01
10/24/2019,97.44,97.44,-0.18,-0.02
10/23/2019,97.57,97.57,-0.23,-0.02
10/22/2019,97.27,97.27,-0.24,-0.02
10/21/2019,97.35,97.35,-0.25,-0.02
10/20/2019,97.34,97.34,,
10/18/2019,97.6,97.6,-0.32,-0.02
10/17/2019,98.02,98.02,-0.24,-0.02
10/16/2019,98.31,98.31,-0.24,-0.02
10/15/2019,98.4,98.4,-0.24,-0.02
10/14/2019,98.42,98.42,-0.19,-0.02
10/13/2019,98.42,98.42,,
10/11/2019,98.65,98.65,-0.08,-0.01
10/10/2019,99.02,99.02,-0.06,-0.01
10/9/2019,99.11,99.11,-0.06,-0.01
10/8/2019,98.95,98.95,-0.05,-0.01
10/7/2019,98.85,98.85,-0.06,-0.01
10/6/2019,98.79,98.79,,
10/4/2019,98.89,98.89,0.03,-0.01
10/3/2019,99.04,99.04,0.07,-0.01
10/2/2019,99.18,99.18,-0.36,-0.01
10/1/2019,99.48,99.48,-0.36,-0.01
9/30/2019,99.12,99.12,-0.43,-0.01
9/29/2019,99.07,99.07,,
9/27/2019,99.16,99.16,-0.41,-0.01
9/26/2019,98.91,98.91,-0.32,-0.01
9/25/2019,98.53,98.53,-0.29,-0.01
9/24/2019,98.66,98.66,-0.31,-0.01
9/23/2019,98.48,98.48,-0.4,-0.01
9/22/2019,98.49,98.49,,
9/20/2019,98.22,98.22,-0.36,-0.01
9/19/2019,98.45,98.45,-0.36,-0.01
9/18/2019,98.3,98.3,-0.38,-0.01
9/17/2019,98.6,98.6,-0.42,-0.01
9/16/2019,98.19,98.19,-0.42,-0.01
9/15/2019,98.1,98.1,,
9/13/2019,98.31,98.31,-0.37,-0.01
9/12/2019,98.63,98.63,-0.38,-0.01
9/11/2019,98.35,98.35,-0.4,-0.01
9/10/2019,98.36,98.36,-0.38,-0.01
9/9/2019,98.44,98.44,-0.35,-0.01
9/8/2019,98.44,98.44,,
9/6/2019,98.37,98.37,-0.34,-0.01
9/5/2019,98.49,98.49,-0.29,-0.01
9/4/2019,98.92,98.92,-0.25,-0.01
9/3/2019,99.27,99.27,-0.29,-0.01
9/2/2019,98.84,98.84,,
9/1/2019,98.8,98.8,,
8/30/2019,98.5,98.5,0,0
8/29/2019,98.19,98.19,0,0
8/28/2019,98.06,98.06,-0.07,0
8/27/2019,97.99,97.99,-0.05,-0.01
8/26/2019,97.67,97.67,0.06,-0.01
8/25/2019,97.57,97.57,,
8/23/2019,98.33,98.33,0.06,0
8/22/2019,98.31,98.31,0.07,0
8/21/2019,98.24,98.24,0.1,0
8/20/2019,98.35,98.35,0.13,0
8/19/2019,98.2,98.2,0.16,-0.01
8/18/2019,98.18,98.18,,
8/16/2019,98.19,98.19,0.13,-0.01
8/15/2019,97.92,97.92,0.14,-0.01
8/14/2019,97.83,97.83,0.24,-0.01
8/13/2019,97.57,97.57,0.2,0
8/12/2019,97.49,97.49,0.18,-0.01
8/11/2019,97.51,97.51,,
8/9/2019,97.55,97.55,0.18,-0.01
8/8/2019,97.55,97.55,0.21,-0.01
8/7/2019,97.54,97.54,0.14,-0.01
8/6/2019,97.57,97.57,0.29,-0.01
8/5/2019,97.92,97.92,0,0
8/4/2019,98.09,98.09,,
8/2/2019,98.41,98.41,-0.17,-0.01
8/1/2019,98.8,98.8,0.03,-0.01
7/31/2019,98.04,98.04,-0.11,-0.01
7/30/2019,98.18,98.18,-0.08,-0.01
7/29/2019,98,98,0.02,-0.01
7/28/2019,97.97,97.97,,
7/26/2019,97.81,97.81,-0.02,-0.01
7/25/2019,97.72,97.72,-0.05,-0.01
7/24/2019,97.75,97.75,-0.11,-0.01
7/23/2019,97.47,97.47,-0.02,-0.01
7/22/2019,97.19,97.19,0,-0.01
7/21/2019,97.14,97.14,,
7/19/2019,96.86,96.86,0.02,-0.01
7/18/2019,97.11,97.11,-0.16,-0.01
7/17/2019,97.32,97.32,-0.07,-0.01
7/16/2019,96.95,96.95,-0.06,-0.01
7/15/2019,96.84,96.84,-0.08,-0.01
7/14/2019,96.81,96.81,,
7/12/2019,96.9,96.9,-0.09,-0.01
7/11/2019,96.89,96.89,-0.07,-0.01
7/10/2019,97.5,97.5,-0.06,-0.01
7/9/2019,97.38,97.38,-0.06,-0.01
7/8/2019,97.19,97.19,0.01,-0.01
7/7/2019,97.24,97.24,,
7/5/2019,96.77,96.77,-0.03,-0.01
7/4/2019,96.73,96.73,,
7/3/2019,96.75,96.75,0.01,-0.01
7/2/2019,96.78,96.78,-0.01,-0.01
7/1/2019,96.54,96.54,-0.28,-0.01
6/30/2019,96.26,96.26,,
6/28/2019,96.23,96.23,-0.21,-0.01
6/27/2019,96.37,96.37,-0.22,-0.01
6/26/2019,96.3,96.3,-0.19,-0.01
6/25/2019,95.91,95.91,-0.28,-0.01
6/24/2019,96.15,96.15,-0.3,-0.01
6/23/2019,96.14,96.14,,
6/21/2019,96.58,96.58,-0.37,-0.01
6/20/2019,96.9,96.9,-0.32,-0.01
6/19/2019,97.65,97.65,-0.34,-0.01
6/18/2019,97.42,97.42,-0.32,-0.01
6/17/2019,97.5,97.5,-0.39,-0.01
6/16/2019,97.51,97.51,,
6/14/2019,97.08,97.08,-0.42,-0.01
6/13/2019,96.91,96.91,-0.44,-0.01
6/12/2019,96.68,96.68,-0.4,-0.01
6/11/2019,96.79,96.79,-0.39,-0.01
6/10/2019,96.81,96.81,-0.29,-0.01
6/9/2019,96.69,96.69,,
6/7/2019,97.07,97.07,-0.28,-0.01
6/6/2019,97.26,97.26,-0.34,-0.01
6/5/2019,97.03,97.03,-0.32,-0.01
6/4/2019,97.16,97.16,0.05,-0.01
6/3/2019,97.66,97.66,0.08,0
6/2/2019,97.73,97.73,,
5/31/2019,98.12,98.12,0.15,0
5/30/2019,98.14,98.14,0.12,-0.01
5/29/2019,97.91,97.91,0.18,-0.01
5/28/2019,97.8,97.8,0.15,-0.01
5/27/2019,97.57,97.57,,
5/26/2019,97.57,97.57,,
5/24/2019,97.86,97.86,0.18,-0.01
5/23/2019,98.15,98.15,0.23,-0.01
5/22/2019,98.06,98.06,0.23,-0.01
5/21/2019,98.03,98.03,0.18,-0.01
5/20/2019,98.04,98.04,0.29,-0.01
5/19/2019,97.99,97.99,,
5/17/2019,97.81,97.81,0.34,-0.01
5/16/2019,97.53,97.53,0.34,-0.01
5/15/2019,97.51,97.51,0.32,-0.01
5/14/2019,97.32,97.32,0.35,-0.01
5/13/2019,97.34,97.34,0.41,-0.01
5/12/2019,97.25,97.25,,
5/10/2019,97.4,97.4,0.38,-0.02
5/9/2019,97.57,97.57,0.38,-0.02
5/8/2019,97.47,97.47,0.37,-0.01
5/7/2019,97.41,97.41,0.33,-0.01
5/6/2019,97.6,97.6,0.26,-0.02
5/5/2019,97.48,97.48,,
5/3/2019,97.83,97.83,0.21,-0.02
5/2/2019,97.6,97.6,0.24,-0.02
5/1/2019,97.5,97.5,0.08,-0.02
4/30/2019,97.81,97.81,0.07,-0.02
4/29/2019,97.97,97.97,0,-0.02
4/28/2019,97.98,97.98,,
4/26/2019,98.14,98.14,0,-0.02
4/25/2019,98.06,98.06,0.01,-0.02
4/24/2019,98.17,98.17,0.14,-0.02
4/23/2019,97.64,97.64,0.09,-0.01
4/22/2019,97.29,97.29,0.11,-0.02
4/21/2019,97.37,97.37,,
4/19/2019,97.38,97.38,,
4/18/2019,97.47,97.47,-0.04,-0.02
4/17/2019,97.01,97.01,0.19,-0.02
4/16/2019,97.04,97.04,0.24,-0.02
4/15/2019,96.94,96.94,0.24,-0.02
4/14/2019,96.91,96.91,,
4/12/2019,96.97,96.97,0.27,-0.02
4/11/2019,97.18,97.18,0.29,-0.02
4/10/2019,96.95,96.95,0.28,-0.02
4/9/2019,97.01,97.01,0.2,-0.02
4/8/2019,97.05,97.05,0.18,-0.02
4/7/2019,97.39,97.39,,
4/5/2019,97.39,97.39,0.13,-0.02
4/4/2019,97.31,97.31,0.16,-0.02
4/3/2019,97.09,97.09,-0.03,-0.02
4/2/2019,97.36,97.36,-0.02,-0.02
4/1/2019,97.23,97.23,-0.01,-0.01
3/31/2019,97.23,97.23,,
3/29/2019,97.28,97.28,-0.03,-0.01
3/28/2019,97.2,97.2,-0.02,-0.01
3/27/2019,96.77,96.77,-0.02,-0.02
3/26/2019,96.74,96.74,-0.05,-0.02
3/25/2019,96.47,96.47,-0.05,-0.02
3/24/2019,96.63,96.63,,
3/22/2019,96.65,96.65,0.01,-0.02
3/21/2019,96.5,96.5,-0.26,-0.02
3/20/2019,95.76,95.76,-0.4,-0.02
3/19/2019,96.38,96.38,-0.4,-0.02
3/18/2019,96.52,96.52,-0.4,-0.02
3/15/2019,96.59,96.59,-0.39,-0.02
3/14/2019,96.78,96.78,-0.36,-0.02
3/13/2019,96.55,96.55,-0.26,-0.02
3/12/2019,96.94,96.94,-0.33,-0.02
3/11/2019,97.22,97.22,-0.33,-0.02
3/10/2019,97.38,97.38,,
3/8/2019,97.31,97.31,-0.39,-0.01
3/7/2019,97.67,97.67,-0.21,-0.02
3/6/2019,96.87,96.87,-0.25,-0.01
3/5/2019,96.87,96.87,-0.21,-0.01
3/4/2019,96.68,96.68,-0.13,-0.01
3/3/2019,96.37,96.37,,
3/1/2019,96.53,96.53,-0.2,-0.01
2/28/2019,96.16,96.16,-0.14,-0.01
2/27/2019,96.15,96.15,-0.32,-0.02
2/26/2019,96,96,-0.4,-0.02
2/25/2019,96.41,96.41,-0.35,-0.01
2/24/2019,96.5,96.5,,
2/22/2019,96.51,96.51,-0.39,-0.01
2/21/2019,96.61,96.61,-0.39,-0.01
2/20/2019,96.45,96.45,-0.38,-0.02
2/19/2019,96.52,96.52,-0.33,-0.02
2/18/2019,96.9,96.9,,
2/17/2019,96.89,96.89,,
2/15/2019,96.9,96.9,-0.24,-0.02
2/14/2019,96.98,96.98,-0.27,-0.02
2/13/2019,97.13,97.13,-0.28,-0.02
2/12/2019,96.71,96.71,-0.12,-0.02
2/11/2019,97.06,97.06,-0.08,-0.02
2/10/2019,96.65,96.65,,
2/8/2019,96.64,96.64,-0.08,-0.02
2/7/2019,96.51,96.51,-0.06,-0.02
2/6/2019,96.39,96.39,-0.05,-0.02
2/5/2019,96.07,96.07,-0.03,-0.02
2/4/2019,95.85,95.85,-0.09,-0.03
2/3/2019,95.54,95.54,,
2/1/2019,95.58,95.58,-0.11,-0.03
1/31/2019,95.58,95.58,0.05,-0.03
1/30/2019,95.34,95.34,0.1,-0.03
1/29/2019,95.82,95.82,0.09,-0.03
1/28/2019,95.75,95.75,0.1,-0.03
1/27/2019,95.77,95.77,,
1/25/2019,95.79,95.79,0.12,-0.03
1/24/2019,96.6,96.6,0.33,-0.03
1/23/2019,96.12,96.12,0.39,-0.03
1/22/2019,96.3,96.3,0.18,-0.03
1/21/2019,96.34,96.34,,
1/20/2019,96.34,96.34,,
1/18/2019,96.34,96.34,0.24,-0.03
1/17/2019,96.06,96.06,0.24,-0.03
1/16/2019,96.06,96.06,0.24,-0.03
1/15/2019,96.04,96.04,0.24,-0.03
1/14/2019,95.61,95.61,0.17,-0.03
1/13/2019,95.66,95.66,,
1/11/2019,95.67,95.67,0.17,-0.03
1/10/2019,95.54,95.54,0.15,-0.03
1/9/2019,95.22,95.22,0.19,-0.03
1/8/2019,95.9,95.9,0.17,-0.03
1/7/2019,95.67,95.67,0.24,-0.03
1/4/2019,96.18,96.18,0.29,-0.03
1/3/2019,96.31,96.31,0.23,-0.03
1/2/2019,96.82,96.82,0.19,-0.03
1/1/2019,96.17,96.17,,
12/31/2018,96.17,96.17,0.24,-0.03
12/30/2018,96.4,96.4,,
12/28/2018,96.4,96.4,0.24,-0.03
