 Date,INDU_EC Open,INDU_EC Low,INDU_EC High,INDU_EC Close,INDU_EC Adj. Close
12/31/2019,"28,471.84","28,351.02","28,507.31","28,489.40","28,489.40"
12/30/2019,"28,651.55","28,411.20","28,658.02","28,438.99","28,438.99"
12/27/2019,"28,673.15","28,597.82","28,718.37","28,629.69","28,629.69"
12/26/2019,"28,524.62","28,522.62","28,587.34","28,577.38","28,577.38"
12/24/2019,"28,564.82","28,491.67","28,577.87","28,510.21","28,510.21"
12/23/2019,"28,496.38","28,488.44","28,575.07","28,539.22","28,539.22"
12/20/2019,"28,386.85","28,376.89","28,514.57","28,469.72","28,469.72"
12/19/2019,"28,286.40","28,267.75","28,382.13","28,360.20","28,360.20"
12/18/2019,"28,306.81","28,272.98","28,333.68","28,282.92","28,282.92"
12/17/2019,"28,210.51","28,179.63","28,342.56","28,292.82","28,292.82"
12/16/2019,"28,198.06","28,187.11","28,346.36","28,254.84","28,254.84"
12/13/2019,"28,246.06","28,033.40","28,296.00","28,139.83","28,139.83"
12/12/2019,"27,960.26","27,848.99","28,221.29","28,152.30","28,152.30"
12/11/2019,"27,867.31","27,801.80","27,925.50","27,911.30","27,911.30"
12/10/2019,"27,900.65","27,804.00","27,949.02","27,881.72","27,881.72"
12/9/2019,"27,967.94","27,914.91","28,006.09","27,917.91","27,917.91"
12/6/2019,"27,730.65","27,688.76","28,028.78","27,991.80","27,991.80"
12/5/2019,"27,679.15","27,553.09","27,769.95","27,664.76","27,664.76"
12/4/2019,"27,634.63","27,612.08","27,727.45","27,649.78","27,649.78"
12/3/2019,"27,501.98","27,325.13","27,524.74","27,502.81","27,502.81"
12/2/2019,"28,186.90","27,792.28","28,199.75","27,795.28","27,795.28"
11/29/2019,"28,087.95","28,042.43","28,114.55","28,073.40","28,073.40"
11/27/2019,"28,184.23","28,072.72","28,190.22","28,153.63","28,153.63"
11/26/2019,"28,028.20","28,026.20","28,137.07","28,136.07","28,136.07"
11/25/2019,"27,951.03","27,934.05","28,055.74","28,047.75","28,047.75"
11/22/2019,"27,813.91","27,762.35","27,892.37","27,875.62","27,875.62"
11/21/2019,"27,769.27","27,698.10","27,860.87","27,812.92","27,812.92"
11/20/2019,"27,817.52","27,667.96","27,884.75","27,808.01","27,808.01"
11/19/2019,"28,106.36","27,887.60","28,155.33","27,918.46","27,918.46"
11/18/2019,"28,044.17","27,958.08","28,072.85","28,012.73","28,012.73"
11/15/2019,"27,858.50","27,829.29","27,984.54","27,974.55","27,974.55"
11/14/2019,"27,747.87","27,662.65","27,796.49","27,762.30","27,762.30"
11/13/2019,"27,622.04","27,587.20","27,806.40","27,783.59","27,783.59"
