 Date,N100 Open,N100 Low,N100 High,N100 Close,N100 Adj. Close,N100 SMA (200D),N100 SMA (50D)
12/31/2019,"1,144.37","1,142.41","1,147.76","1,144.39","1,144.39","1,079.25","1,124.05"
12/30/2019,"1,155.09","1,146.56","1,156.44","1,146.56","1,146.56","1,078.79","1,122.95"
12/27/2019,"1,156.17","1,154.50","1,160.82","1,156.61","1,156.61","1,078.30","1,121.93"
12/24/2019,"1,153.00","1,152.53","1,154.89","1,154.29","1,154.29","1,077.76","1,120.77"
12/23/2019,"1,150.92","1,149.71","1,155.16","1,153.81","1,153.81","1,077.17","1,119.71"
12/20/2019,"1,143.97","1,141.63","1,152.59","1,152.58","1,152.58","1,076.54","1,118.44"
12/19/2019,"1,140.80","1,137.63","1,142.95","1,142.95","1,142.95","1,075.88","1,117.27"
12/18/2019,"1,141.00","1,139.80","1,144.52","1,140.28","1,140.28","1,075.27","1,115.95"
12/17/2019,"1,144.68","1,138.82","1,144.68","1,140.88","1,140.88","1,074.64","1,114.48"
12/16/2019,"1,137.45","1,137.11","1,148.86","1,146.34","1,146.34","1,074.04","1,112.85"
12/13/2019,"1,138.95","1,130.71","1,141.02","1,132.44","1,132.44","1,073.44","1,111.38"
12/12/2019,"1,124.90","1,118.46","1,131.65","1,125.87","1,125.87","1,072.92","1,110.03"
12/11/2019,"1,121.49","1,117.24","1,124.32","1,123.19","1,123.19","1,072.43","1,108.62"
12/10/2019,"1,121.82","1,110.13","1,123.29","1,122.43","1,122.43","1,071.94","1,107.21"
12/9/2019,"1,127.05","1,123.03","1,127.69","1,123.28","1,123.28","1,071.43","1,106.45"
12/6/2019,"1,117.20","1,116.42","1,127.99","1,127.98","1,127.98","1,070.88","1,105.97"
12/5/2019,"1,116.09","1,113.64","1,122.79","1,113.65","1,113.65","1,070.32","1,105.28"
12/4/2019,"1,100.93","1,100.93","1,115.93","1,113.85","1,113.85","1,069.84","1,104.79"
12/3/2019,"1,111.33","1,095.85","1,114.42","1,100.84","1,100.84","1,069.33","1,104.15"
12/2/2019,"1,131.10","1,109.17","1,138.46","1,110.43","1,110.43","1,068.89","1,103.90"
11/29/2019,"1,127.98","1,126.33","1,135.09","1,129.97","1,129.97","1,068.40","1,103.47"
11/28/2019,"1,130.76","1,128.95","1,131.62","1,131.24","1,131.24","1,067.78","1,102.84"
11/27/2019,"1,135.96","1,132.37","1,136.64","1,133.69","1,133.69","1,067.17","1,102.10"
11/26/2019,"1,131.47","1,128.03","1,135.14","1,133.31","1,133.31","1,066.54","1,101.20"
11/25/2019,"1,128.67","1,128.20","1,132.16","1,131.03","1,131.03","1,065.83","1,100.28"
11/22/2019,"1,123.41","1,122.74","1,129.54","1,124.20","1,124.20","1,065.15","1,099.35"
11/21/2019,"1,119.06","1,113.44","1,123.12","1,120.96","1,120.96","1,064.48","1,098.74"
11/20/2019,"1,124.46","1,119.60","1,126.81","1,125.51","1,125.51","1,063.79","1,098.15"
11/19/2019,"1,134.23","1,126.72","1,139.36","1,129.08","1,129.08","1,063.03","1,097.36"
11/18/2019,"1,134.68","1,128.33","1,135.10","1,133.44","1,133.44","1,062.29","1,096.37"
11/15/2019,"1,132.81","1,126.84","1,134.55","1,134.03","1,134.03","1,061.60","1,095.31"
11/14/2019,"1,127.77","1,126.60","1,130.69","1,127.22","1,127.22","1,060.91","1,094.28"
11/13/2019,"1,128.60","1,123.36","1,130.13","1,128.89","1,128.89","1,060.17","1,093.38"
11/12/2019,"1,128.68","1,127.14","1,133.41","1,131.07","1,131.07","1,059.41","1,092.27"
11/11/2019,"1,123.31","1,122.49","1,128.46","1,126.23","1,126.23","1,058.62","1,090.90"
11/8/2019,"1,123.33","1,121.55","1,126.73","1,125.96","1,125.96","1,057.84","1,089.71"
11/7/2019,"1,127.62","1,124.01","1,127.83","1,127.13","1,127.13","1,057.01","1,088.47"
11/6/2019,"1,119.63","1,118.66","1,124.93","1,123.44","1,123.44","1,056.14","1,087.06"
11/5/2019,"1,114.99","1,113.74","1,120.01","1,119.25","1,119.25","1,055.33","1,085.44"
11/4/2019,"1,108.27","1,108.07","1,116.42","1,114.00","1,114.00","1,054.50","1,083.96"
11/1/2019,"1,101.12","1,100.05","1,106.69","1,103.74","1,103.74","1,053.67","1,082.44"
10/31/2019,"1,105.17","1,095.52","1,107.20","1,097.89","1,097.89","1,052.89","1,081.07"
10/30/2019,"1,101.65","1,097.39","1,104.74","1,104.74","1,104.74","1,052.16","1,080.02"
10/29/2019,"1,099.53","1,095.59","1,099.53","1,099.36","1,099.36","1,051.41","1,079.02"
10/28/2019,"1,098.37","1,096.13","1,102.41","1,099.33","1,099.33","1,050.59","1,077.80"
10/25/2019,"1,102.62","1,091.81","1,102.62","1,098.98","1,098.98","1,049.78","1,076.72"
10/24/2019,"1,096.22","1,093.61","1,099.40","1,098.93","1,098.93","1,048.95","1,075.36"
10/23/2019,"1,086.29","1,085.29","1,092.19","1,091.51","1,091.51","1,048.11","1,073.74"
10/22/2019,"1,092.06","1,086.05","1,092.89","1,092.89","1,092.89","1,047.34","1,072.33"
10/21/2019,"1,089.93","1,088.19","1,094.66","1,092.63","1,092.63","1,046.56","1,071.31"
10/18/2019,"1,092.54","1,086.69","1,095.26","1,089.39","1,089.39","1,045.77","1,070.15"
10/17/2019,"1,095.41","1,095.25","1,105.89","1,095.71","1,095.71","1,044.97","1,069.13"
10/16/2019,"1,101.00","1,097.25","1,102.14","1,098.82","1,098.82","1,044.09","1,068.22"
10/15/2019,"1,097.03","1,093.29","1,104.48","1,100.99","1,100.99","1,043.20","1,066.82"
10/14/2019,"1,090.61","1,082.51","1,091.74","1,090.50","1,090.50","1,042.19","1,065.26"
10/11/2019,"1,077.84","1,077.62","1,094.27","1,094.13","1,094.13","1,041.29","1,063.96"
10/10/2019,"1,070.27","1,062.26","1,078.57","1,076.86","1,076.86","1,040.39","1,063.11"
10/9/2019,"1,059.77","1,057.61","1,069.86","1,066.60","1,066.60","1,039.54","1,063.31"
10/8/2019,"1,072.99","1,059.23","1,074.05","1,059.72","1,059.72","1,038.67","1,063.60"
10/7/2019,"1,063.92","1,061.71","1,072.80","1,072.64","1,072.64","1,037.86","1,064.01"
10/4/2019,"1,058.86","1,053.88","1,065.09","1,065.09","1,065.09","1,037.04","1,064.47"
10/3/2019,"1,052.97","1,046.36","1,060.22","1,055.08","1,055.08","1,036.27","1,065.12"
10/2/2019,"1,083.37","1,052.78","1,083.37","1,052.78","1,052.78","1,035.63","1,065.86"
10/1/2019,"1,102.97","1,084.09","1,105.85","1,084.71","1,084.71","1,034.99","1,066.72"
9/30/2019,"1,092.01","1,090.62","1,099.31","1,099.17","1,099.17","1,034.23","1,066.94"
9/27/2019,"1,090.88","1,089.78","1,094.72","1,093.19","1,093.19","1,033.45","1,066.67"
9/26/2019,"1,080.51","1,080.21","1,091.29","1,089.41","1,089.41","1,032.73","1,066.44"
9/25/2019,"1,082.62","1,071.88","1,083.43","1,081.71","1,081.71","1,032.05","1,066.22"
9/24/2019,"1,090.98","1,088.37","1,092.23","1,088.56","1,088.56","1,031.32","1,066.21"
9/23/2019,"1,095.69","1,086.21","1,096.99","1,088.81","1,088.81","1,030.49","1,066.17"
9/20/2019,"1,094.09","1,092.13","1,100.33","1,098.69","1,098.69","1,029.74","1,065.99"
9/19/2019,"1,087.47","1,087.47","1,094.73","1,094.16","1,094.16","1,028.89","1,065.61"
9/18/2019,"1,086.79","1,085.98","1,091.17","1,088.57","1,088.57","1,028.24","1,065.27"
9/17/2019,"1,083.90","1,082.09","1,087.81","1,087.30","1,087.30","1,027.68","1,065.07"
9/16/2019,"1,088.37","1,084.49","1,089.30","1,084.49","1,084.49","1,027.15","1,064.93"
9/13/2019,"1,092.27","1,090.32","1,095.38","1,093.59","1,093.59","1,026.60","1,064.93"
9/12/2019,"1,090.07","1,084.58","1,096.52","1,091.71","1,091.71","1,026.00","1,064.78"
9/11/2019,"1,081.86","1,081.15","1,086.22","1,085.87","1,085.87","1,025.40","1,064.80"
9/10/2019,"1,080.82","1,072.84","1,080.82","1,079.36","1,079.36","1,024.82","1,064.91"
9/9/2019,"1,084.15","1,077.90","1,084.20","1,080.43","1,080.43","1,024.28","1,064.96"
9/6/2019,"1,081.75","1,078.87","1,084.49","1,082.53","1,082.53","1,023.69","1,064.91"
9/5/2019,"1,080.22","1,077.69","1,083.77","1,082.43","1,082.43","1,023.08","1,064.69"
9/4/2019,"1,071.54","1,069.85","1,075.43","1,073.66","1,073.66","1,022.51","1,064.29"
9/3/2019,"1,065.05","1,057.25","1,065.20","1,062.20","1,062.20","1,021.93","1,064.09"
9/2/2019,"1,064.81","1,064.72","1,069.01","1,066.70","1,066.70","1,021.48","1,064.18"
8/30/2019,"1,057.54","1,056.87","1,067.79","1,064.09","1,064.09","1,021.05","1,064.23"
8/29/2019,"1,040.84","1,040.03","1,058.22","1,056.91","1,056.91","1,020.68","1,064.38"
8/28/2019,"1,042.11","1,033.85","1,043.42","1,042.33","1,042.33","1,020.33","1,064.72"
8/27/2019,"1,037.32","1,032.50","1,046.82","1,045.20","1,045.20","1,020.09","1,065.30"
