 Date,EURUSD Open,EURUSD Low,EURUSD High,EURUSD Close,EURUSD Adj. Close
12/31/2019,1.1199,1.1199,1.1239,1.1233,1.1233
12/30/2019,1.1178,1.1173,1.122,1.1198,1.1198
12/27/2019,1.1098,1.1096,1.1187,1.1176,1.1176
12/26/2019,1.1091,1.1083,1.1109,1.1103,1.1103
12/25/2019,1.1086,1.1074,1.1089,1.1084,1.1084
12/24/2019,1.1089,1.107,1.1094,1.1086,1.1086
12/23/2019,1.1082,1.107,1.1095,1.1092,1.1092
12/20/2019,1.1122,1.1067,1.1125,1.1077,1.1077
12/19/2019,1.1113,1.1108,1.1144,1.1124,1.1124
12/18/2019,1.115,1.1111,1.1154,1.1119,1.1119
12/17/2019,1.1154,1.113,1.1174,1.1146,1.1146
12/16/2019,1.113,1.1123,1.1157,1.1144,1.1144
12/13/2019,1.115,1.1112,1.1198,1.1117,1.1117
12/12/2019,1.113,1.1105,1.1154,1.1132,1.1132
12/11/2019,1.1089,1.1071,1.1144,1.1139,1.1139
12/10/2019,1.1064,1.1063,1.1097,1.1096,1.1096
12/9/2019,1.1059,1.1054,1.1078,1.1065,1.1065
12/6/2019,1.1104,1.104,1.1109,1.106,1.106
12/5/2019,1.1078,1.1078,1.1108,1.1102,1.1102
12/4/2019,1.1082,1.1067,1.1112,1.1079,1.1079
12/3/2019,1.1079,1.1066,1.1093,1.1081,1.1081
12/2/2019,1.1027,1.1004,1.1089,1.1085,1.1085
11/29/2019,1.101,1.0982,1.1027,1.1017,1.1017
11/28/2019,1.1,1.1,1.1018,1.1009,1.1009
11/27/2019,1.1021,1.0992,1.1025,1.1001,1.1001
11/26/2019,1.1015,1.1007,1.1024,1.1024,1.1024
11/25/2019,1.1018,1.1005,1.1032,1.1011,1.1011
11/22/2019,1.1059,1.1015,1.1079,1.1023,1.1023
11/21/2019,1.1074,1.1053,1.1096,1.1058,1.1058
11/20/2019,1.1077,1.1054,1.1081,1.1073,1.1073
11/19/2019,1.1071,1.1064,1.1083,1.1077,1.1077
11/18/2019,1.105,1.105,1.109,1.1074,1.1074
11/15/2019,1.1021,1.1015,1.1057,1.1055,1.1055
11/14/2019,1.1006,1.099,1.1027,1.102,1.102
11/13/2019,1.1009,1.0996,1.102,1.1008,1.1008
11/12/2019,1.1033,1.1003,1.1038,1.1011,1.1011
11/11/2019,1.1021,1.1017,1.1043,1.1033,1.1033
11/8/2019,1.105,1.1017,1.1054,1.1022,1.1022
11/7/2019,1.1068,1.1037,1.109,1.1046,1.1046
11/6/2019,1.1075,1.1065,1.1092,1.1069,1.1069
11/5/2019,1.1128,1.1064,1.1139,1.1071,1.1071
11/4/2019,1.117,1.1125,1.1175,1.1128,1.1128
11/1/2019,1.1152,1.1131,1.1172,1.1164,1.1164
10/31/2019,1.1151,1.1133,1.1174,1.1152,1.1152
10/30/2019,1.1112,1.1082,1.1151,1.115,1.115
10/29/2019,1.11,1.1074,1.1116,1.1112,1.1112
10/28/2019,1.108,1.1077,1.1106,1.11,1.11
10/25/2019,1.1104,1.1074,1.1123,1.1078,1.1078
10/24/2019,1.1131,1.1093,1.1162,1.1104,1.1104
10/23/2019,1.1125,1.1107,1.1138,1.1131,1.1131
10/22/2019,1.1149,1.1119,1.1157,1.1125,1.1125
10/21/2019,1.1161,1.114,1.1178,1.1149,1.1149
10/18/2019,1.1125,1.1115,1.1166,1.1166,1.1166
10/17/2019,1.1072,1.1065,1.1137,1.1125,1.1125
10/16/2019,1.1033,1.1023,1.1085,1.1072,1.1072
10/15/2019,1.1029,1.0991,1.1045,1.1033,1.1033
10/14/2019,1.1033,1.1014,1.1042,1.1027,1.1027
10/11/2019,1.1005,1.1002,1.1062,1.1036,1.1036
10/10/2019,1.0972,1.0972,1.1033,1.1006,1.1006
10/9/2019,1.0957,1.0952,1.0989,1.0972,1.0972
10/8/2019,1.0971,1.0944,1.0995,1.0957,1.0957
10/7/2019,1.0982,1.0963,1.0999,1.0971,1.0971
10/4/2019,1.0965,1.0958,1.0989,1.0976,1.0976
10/3/2019,1.0961,1.0941,1.0997,1.0963,1.0963
10/2/2019,1.0934,1.0905,1.0963,1.0959,1.0959
10/1/2019,1.0899,1.0881,1.0938,1.0933,1.0933
9/30/2019,1.0942,1.0888,1.0947,1.0898,1.0898
9/27/2019,1.0919,1.0906,1.0958,1.0941,1.0941
9/26/2019,1.0943,1.0911,1.0966,1.0921,1.0921
9/25/2019,1.102,1.0938,1.1022,1.0943,1.0943
9/24/2019,1.0994,1.0985,1.1023,1.1019,1.1019
9/23/2019,1.1013,1.0968,1.1038,1.0993,1.0993
9/20/2019,1.1041,1.0998,1.1068,1.1018,1.1018
9/19/2019,1.1028,1.1023,1.1073,1.104,1.104
9/18/2019,1.1072,1.1016,1.1075,1.103,1.103
9/17/2019,1.1001,1.0992,1.1074,1.1072,1.1072
9/16/2019,1.1074,1.0995,1.1086,1.1002,1.1002
9/13/2019,1.1065,1.1056,1.1109,1.1078,1.1078
9/12/2019,1.1011,1.0928,1.1084,1.1064,1.1064
9/11/2019,1.1044,1.0985,1.1055,1.1011,1.1011
9/10/2019,1.1048,1.1032,1.1059,1.1043,1.1043
9/9/2019,1.1027,1.1016,1.1067,1.1047,1.1047
9/6/2019,1.1035,1.1021,1.1056,1.1027,1.1027
9/5/2019,1.1034,1.1017,1.1082,1.1035,1.1035
9/4/2019,1.0974,1.0969,1.1038,1.1036,1.1036
9/3/2019,1.097,1.0928,1.0978,1.0973,1.0973
9/2/2019,1.0991,1.0958,1.0996,1.0971,1.0971
8/30/2019,1.1057,1.0964,1.106,1.099,1.099
8/29/2019,1.1078,1.1044,1.1087,1.1056,1.1056
8/28/2019,1.1091,1.1075,1.1098,1.1078,1.1078
8/27/2019,1.1103,1.1087,1.1115,1.109,1.109
8/26/2019,1.1149,1.1095,1.1163,1.1102,1.1102
8/23/2019,1.1082,1.1052,1.1152,1.1141,1.1141
8/22/2019,1.1085,1.1064,1.1111,1.1079,1.1079
8/21/2019,1.1101,1.1082,1.1107,1.1084,1.1084
8/20/2019,1.1078,1.1068,1.1107,1.11,1.11
8/19/2019,1.1094,1.1077,1.111,1.1078,1.1078
8/16/2019,1.1104,1.1067,1.1112,1.109,1.109
8/15/2019,1.1139,1.1092,1.1158,1.1107,1.1107
8/14/2019,1.1171,1.1131,1.119,1.1139,1.1139
8/13/2019,1.1214,1.1171,1.1228,1.1172,1.1172
8/12/2019,1.1199,1.1162,1.1229,1.1214,1.1214
