 Date,EMURetailSalesYoY Close,EMURetailSalesYoY Adj. Close
12/31/2019,1.3,1.3
11/30/2019,2.2,2.2
10/31/2019,1.4,1.4
9/30/2019,3.1,3.1
8/31/2019,2.1,2.1
7/31/2019,2.2,2.2
6/30/2019,2.6,2.6
5/31/2019,1.3,1.3
4/30/2019,1.5,1.5
3/31/2019,1.9,1.9
2/28/2019,2.8,2.8
1/31/2019,2.2,2.2
12/31/2018,0.3,0.3
11/30/2018,1.8,1.8
10/31/2018,2.3,2.3
9/30/2018,0.3,0.3
8/31/2018,2.2,2.2
7/31/2018,1,1
6/30/2018,1.5,1.5
5/31/2018,1.7,1.7
4/30/2018,1.6,1.6
3/31/2018,1.7,1.7
2/28/2018,1.8,1.8
1/31/2018,1.4,1.4
12/31/2017,2.2,2.2
11/30/2017,3.7,3.7
10/31/2017,0.3,0.3
9/30/2017,3.9,3.9
8/31/2017,1.8,1.8
7/31/2017,2.1,2.1
6/30/2017,3.1,3.1
5/31/2017,2.5,2.5
4/30/2017,2.3,2.3
3/31/2017,2.8,2.8
2/28/2017,1.7,1.7
1/31/2017,1.3,1.3
12/31/2016,1.3,1.3
11/30/2016,2.7,2.7
10/31/2016,2.8,2.8
9/30/2016,0.9,0.9
8/31/2016,1.4,1.4
7/31/2016,1.3,1.3
6/30/2016,1.1,1.1
5/31/2016,1.1,1.1
4/30/2016,1.1,1.1
3/31/2016,1.9,1.9
2/29/2016,2.3,2.3
1/31/2016,1.5,1.5
12/31/2015,2.4,2.4
11/30/2015,1.9,1.9
10/31/2015,2.5,2.5
9/30/2015,3.2,3.2
8/31/2015,3,3
7/31/2015,4.3,4.3
6/30/2015,3.3,3.3
5/31/2015,3.4,3.4
4/30/2015,2.6,2.6
3/31/2015,1.9,1.9
2/28/2015,3.1,3.1
1/31/2015,2.8,2.8
12/31/2014,2.4,2.4
11/30/2014,1.2,1.2
10/31/2014,1.4,1.4
9/30/2014,0.7,0.7
8/31/2014,1.6,1.6
7/31/2014,0.2,0.2
6/30/2014,1.7,1.7
5/31/2014,0.5,0.5
4/30/2014,1.9,1.9
3/31/2014,1.1,1.1
2/28/2014,1.1,1.1
1/31/2014,0.9,0.9
12/31/2013,-0.3,-0.3
11/30/2013,1.5,1.5
10/31/2013,-0.4,-0.4
9/30/2013,-0.3,-0.3
8/31/2013,-0.3,-0.3
7/31/2013,-0.7,-0.7
6/30/2013,-1.4,-1.4
5/31/2013,-0.1,-0.1
4/30/2013,-1.1,-1.1
3/31/2013,-2.2,-2.2
2/28/2013,-1.6,-1.6
1/31/2013,-2.3,-2.3
12/31/2012,-2.3,-2.3
11/30/2012,-2.2,-2.2
10/31/2012,-3,-3
9/30/2012,-1.8,-1.8
8/31/2012,-0.8,-0.8
7/31/2012,-1.9,-1.9
6/30/2012,-0.7,-0.7
5/31/2012,-0.5,-0.5
4/30/2012,-3.2,-3.2
3/31/2012,0,0
2/29/2012,-2.2,-2.2
1/31/2012,-0.7,-0.7
12/31/2011,-1.7,-1.7
11/30/2011,-1.4,-1.4
10/31/2011,-0.7,-0.7
9/30/2011,-1.2,-1.2
8/31/2011,0,0
7/31/2011,-0.3,-0.3
6/30/2011,-0.9,-0.9
5/31/2011,-1.6,-1.6
4/30/2011,0.6,0.6
3/31/2011,-1.5,-1.5
2/28/2011,0.9,0.9
1/31/2011,0.4,0.4
12/31/2010,-0.5,-0.5
