 Date,EUIPEMUY Close,EUIPEMUY Adj. Close
12/31/2019,-4.1,-4.1
11/30/2019,-1.5,-1.5
10/31/2019,-2.2,-2.2
9/30/2019,-1.7,-1.7
8/31/2019,-2.8,-2.8
7/31/2019,-2,-2
6/30/2019,-2.6,-2.6
5/31/2019,-0.5,-0.5
4/30/2019,-0.4,-0.4
3/31/2019,-0.6,-0.6
2/28/2019,-0.3,-0.3
1/31/2019,-0.7,-0.7
12/31/2018,-4.2,-4.2
11/30/2018,-3,-3
10/31/2018,1.2,1.2
9/30/2018,0.8,0.8
8/31/2018,1.1,1.1
7/31/2018,0.3,0.3
6/30/2018,2.3,2.3
5/31/2018,2.6,2.6
4/30/2018,1.7,1.7
3/31/2018,3.2,3.2
2/28/2018,2.7,2.7
1/31/2018,3.6,3.6
12/31/2017,5.2,5.2
11/30/2017,4.7,4.7
10/31/2017,2.7,2.7
9/30/2017,4.2,4.2
8/31/2017,4.2,4.2
7/31/2017,3.9,3.9
6/30/2017,2.2,2.2
5/31/2017,3.6,3.6
4/30/2017,1.5,1.5
3/31/2017,1.9,1.9
2/28/2017,1.9,1.9
1/31/2017,-0.3,-0.3
12/31/2016,2.8,2.8
11/30/2016,3.6,3.6
10/31/2016,3,3
9/30/2016,1.4,1.4
8/31/2016,1.3,1.3
7/31/2016,-0.2,-0.2
6/30/2016,0.1,0.1
5/31/2016,0,0
4/30/2016,1.9,1.9
3/31/2016,-0.4,-0.4
2/29/2016,0.2,0.2
1/31/2016,5.8,5.8
12/31/2015,1.9,1.9
11/30/2015,2.8,2.8
10/31/2015,3.2,3.2
9/30/2015,2.8,2.8
8/31/2015,3.7,3.7
7/31/2015,2.9,2.9
6/30/2015,3.3,3.3
5/31/2015,2.2,2.2
4/30/2015,1.4,1.4
3/31/2015,3.2,3.2
2/28/2015,2.3,2.3
1/31/2015,1.2,1.2
12/31/2014,1.1,1.1
11/30/2014,-0.4,-0.4
10/31/2014,1.1,1.1
9/30/2014,0.7,0.7
8/31/2014,0,0
7/31/2014,2.2,2.2
6/30/2014,0.4,0.4
5/31/2014,1,1
4/30/2014,2.2,2.2
3/31/2014,0.6,0.6
2/28/2014,2,2
1/31/2014,2,2
12/31/2013,1.5,1.5
11/30/2013,2.6,2.6
10/31/2013,0.2,0.2
9/30/2013,-0.1,-0.1
8/31/2013,-1.8,-1.8
7/31/2013,-2,-2
6/30/2013,-0.7,-0.7
