 Date,EUROAREACORINFRAT Close,EUROAREACORINFRAT Adj. Close
12/31/2019,1.3,1.3
11/30/2019,1.3,1.3
10/31/2019,1.1,1.1
9/30/2019,1,1
8/31/2019,0.9,0.9
7/31/2019,0.9,0.9
6/30/2019,1.1,1.1
5/31/2019,0.8,0.8
4/30/2019,1.2,1.2
3/31/2019,0.8,0.8
2/28/2019,1,1
1/31/2019,1.1,1.1
12/31/2018,0.9,0.9
11/30/2018,1,1
10/31/2018,1.1,1.1
9/30/2018,0.9,0.9
8/31/2018,0.9,0.9
7/31/2018,1.1,1.1
6/30/2018,0.9,0.9
5/31/2018,1.1,1.1
4/30/2018,0.8,0.8
3/31/2018,1,1
2/28/2018,1,1
1/31/2018,1,1
12/31/2017,0.9,0.9
11/30/2017,0.9,0.9
10/31/2017,0.9,0.9
9/30/2017,1.1,1.1
8/31/2017,1.2,1.2
7/31/2017,1.2,1.2
6/30/2017,1.1,1.1
5/31/2017,0.9,0.9
4/30/2017,1.2,1.2
3/31/2017,0.7,0.7
2/28/2017,0.9,0.9
1/31/2017,0.9,0.9
12/31/2016,0.9,0.9
11/30/2016,0.8,0.8
10/31/2016,0.8,0.8
9/30/2016,0.8,0.8
8/31/2016,0.8,0.8
7/31/2016,0.9,0.9
6/30/2016,0.9,0.9
5/31/2016,0.8,0.8
4/30/2016,0.7,0.7
3/31/2016,1,1
2/29/2016,0.8,0.8
1/31/2016,1,1
12/31/2015,0.9,0.9
11/30/2015,0.9,0.9
10/31/2015,1.1,1.1
9/30/2015,0.9,0.9
8/31/2015,0.9,0.9
7/31/2015,1,1
6/30/2015,0.8,0.8
5/31/2015,0.9,0.9
4/30/2015,0.6,0.6
3/31/2015,0.6,0.6
2/28/2015,0.7,0.7
1/31/2015,0.6,0.6
12/31/2014,0.7,0.7
11/30/2014,0.7,0.7
10/31/2014,0.7,0.7
9/30/2014,0.8,0.8
8/31/2014,0.9,0.9
7/31/2014,0.8,0.8
6/30/2014,0.8,0.8
5/31/2014,0.7,0.7
4/30/2014,1,1
3/31/2014,0.7,0.7
2/28/2014,1,1
1/31/2014,0.8,0.8
12/31/2013,0.7,0.7
11/30/2013,0.9,0.9
10/31/2013,0.8,0.8
9/30/2013,1,1
8/31/2013,1.1,1.1
7/31/2013,1.1,1.1
6/30/2013,1.2,1.2
5/31/2013,1.2,1.2
4/30/2013,1,1
3/31/2013,1.5,1.5
2/28/2013,1.3,1.3
1/31/2013,1.3,1.3
12/31/2012,1.5,1.5
11/30/2012,1.4,1.4
10/31/2012,1.5,1.5
9/30/2012,1.5,1.5
8/31/2012,1.5,1.5
7/31/2012,1.7,1.7
6/30/2012,1.6,1.6
5/31/2012,1.6,1.6
4/30/2012,1.6,1.6
3/31/2012,1.6,1.6
2/29/2012,1.5,1.5
1/31/2012,1.5,1.5
12/31/2011,1.6,1.6
11/30/2011,1.6,1.6
10/31/2011,1.6,1.6
9/30/2011,1.6,1.6
8/31/2011,1.2,1.2
7/31/2011,1.2,1.2
6/30/2011,1.5,1.5
5/31/2011,1.5,1.5
4/30/2011,1.6,1.6
3/31/2011,1.3,1.3
2/28/2011,1,1
1/31/2011,1.1,1.1
12/31/2010,1.1,1.1
11/30/2010,1.1,1.1
10/31/2010,1.1,1.1
9/30/2010,1.2,1.2
8/31/2010,1,1
7/31/2010,1,1
6/30/2010,1,1
5/31/2010,0.9,0.9
4/30/2010,0.9,0.9
3/31/2010,1.1,1.1
2/28/2010,0.7,0.7
1/31/2010,0.8,0.8
12/31/2009,1.1,1.1
11/30/2009,1,1
10/31/2009,1.2,1.2
9/30/2009,1.2,1.2
8/31/2009,1.3,1.3
7/31/2009,1.3,1.3
6/30/2009,1.4,1.4
5/31/2009,1.5,1.5
4/30/2009,1.8,1.8
3/31/2009,1.5,1.5
2/28/2009,1.7,1.7
1/31/2009,1.6,1.6
12/31/2008,1.9,1.9
11/30/2008,1.9,1.9
10/31/2008,1.9,1.9
9/30/2008,1.9,1.9
8/31/2008,1.9,1.9
7/31/2008,1.7,1.7
6/30/2008,1.8,1.8
5/31/2008,1.7,1.7
4/30/2008,1.7,1.7
3/31/2008,2,2
2/29/2008,1.8,1.8
1/31/2008,1.8,1.8
12/31/2007,1.9,1.9
11/30/2007,1.9,1.9
10/31/2007,1.9,1.9
9/30/2007,1.8,1.8
8/31/2007,1.9,1.9
7/31/2007,1.9,1.9
6/30/2007,1.9,1.9
5/31/2007,1.9,1.9
4/30/2007,1.9,1.9
3/31/2007,1.9,1.9
2/28/2007,1.9,1.9
1/31/2007,1.7,1.7
12/31/2006,1.6,1.6
11/30/2006,1.5,1.5
10/31/2006,1.5,1.5
9/30/2006,1.5,1.5
8/31/2006,1.4,1.4
7/31/2006,1.5,1.5
6/30/2006,1.4,1.4
5/31/2006,1.4,1.4
4/30/2006,1.5,1.5
3/31/2006,1.3,1.3
2/28/2006,1.2,1.2
1/31/2006,1.2,1.2
12/31/2005,1.3,1.3
11/30/2005,1.4,1.4
10/31/2005,1.4,1.4
9/30/2005,1.3,1.3
8/31/2005,1.3,1.3
7/31/2005,1.3,1.3
6/30/2005,1.4,1.4
5/31/2005,1.6,1.6
4/30/2005,1.4,1.4
3/31/2005,1.6,1.6
2/28/2005,1.5,1.5
1/31/2005,1.6,1.6
12/31/2004,1.9,1.9
11/30/2004,1.9,1.9
10/31/2004,1.9,1.9
9/30/2004,1.9,1.9
8/31/2004,1.9,1.9
7/31/2004,1.9,1.9
6/30/2004,1.9,1.9
5/31/2004,1.8,1.8
4/30/2004,1.8,1.8
3/31/2004,1.8,1.8
2/29/2004,1.8,1.8
1/31/2004,1.7,1.7
12/31/2003,1.6,1.6
11/30/2003,1.7,1.7
10/31/2003,1.8,1.8
9/30/2003,1.8,1.8
8/31/2003,1.7,1.7
7/31/2003,1.6,1.6
6/30/2003,1.8,1.8
5/31/2003,1.8,1.8
4/30/2003,2,2
3/31/2003,1.9,1.9
2/28/2003,1.9,1.9
1/31/2003,1.9,1.9
12/31/2002,2.2,2.2
11/30/2002,2.3,2.3
