 Date,EMUEVOLVINTRAT Close,EMUEVOLVINTRAT Adj. Close
12/31/2019,-0.42,-0.42
12/30/2019,-0.42,-0.42
12/27/2019,-0.43,-0.43
12/26/2019,-0.43,-0.43
12/25/2019,-0.43,-0.43
12/24/2019,-0.42,-0.42
12/23/2019,-0.42,-0.42
12/20/2019,-0.43,-0.43
12/19/2019,-0.44,-0.44
12/18/2019,-0.43,-0.43
12/17/2019,-0.44,-0.44
12/16/2019,-0.44,-0.44
12/13/2019,-0.44,-0.44
12/12/2019,-0.44,-0.44
12/11/2019,-0.44,-0.44
12/10/2019,-0.44,-0.44
12/9/2019,-0.44,-0.44
12/6/2019,-0.45,-0.45
12/5/2019,-0.45,-0.45
12/4/2019,-0.43,-0.43
12/3/2019,-0.43,-0.43
12/2/2019,-0.43,-0.43
11/29/2019,-0.43,-0.43
11/28/2019,-0.44,-0.44
11/27/2019,-0.44,-0.44
11/26/2019,-0.45,-0.45
11/25/2019,-0.45,-0.45
11/22/2019,-0.45,-0.45
11/21/2019,-0.45,-0.45
11/18/2019,-0.44,-0.44
11/15/2019,-0.44,-0.44
11/14/2019,-0.44,-0.44
11/13/2019,-0.44,-0.44
11/12/2019,-0.44,-0.44
11/11/2019,-0.44,-0.44
11/8/2019,-0.45,-0.45
11/7/2019,-0.44,-0.44
11/6/2019,-0.44,-0.44
11/5/2019,-0.44,-0.44
11/4/2019,-0.44,-0.44
11/1/2019,-0.44,-0.44
10/31/2019,-0.44,-0.44
10/30/2019,-0.44,-0.44
10/29/2019,-0.43,-0.43
10/28/2019,-0.43,-0.43
10/25/2019,-0.43,-0.43
10/24/2019,-0.43,-0.43
10/23/2019,-0.43,-0.43
10/22/2019,-0.44,-0.44
10/21/2019,-0.44,-0.44
10/18/2019,-0.43,-0.43
10/17/2019,-0.44,-0.44
10/16/2019,-0.44,-0.44
10/15/2019,-0.44,-0.44
10/14/2019,-0.44,-0.44
10/11/2019,-0.44,-0.44
10/10/2019,-0.44,-0.44
10/9/2019,-0.44,-0.44
10/8/2019,-0.44,-0.44
10/7/2019,-0.44,-0.44
10/4/2019,-0.45,-0.45
10/3/2019,-0.45,-0.45
10/2/2019,-0.44,-0.44
10/1/2019,-0.44,-0.44
9/30/2019,-0.44,-0.44
9/27/2019,-0.43,-0.43
9/26/2019,-0.43,-0.43
9/25/2019,-0.43,-0.43
9/24/2019,-0.43,-0.43
9/20/2019,-0.42,-0.42
9/19/2019,-0.42,-0.42
9/18/2019,-0.43,-0.43
9/17/2019,-0.42,-0.42
9/16/2019,-0.42,-0.42
9/13/2019,-0.47,-0.47
9/12/2019,-0.46,-0.46
9/11/2019,-0.47,-0.47
9/10/2019,-0.48,-0.48
9/9/2019,-0.48,-0.48
9/6/2019,-0.48,-0.48
9/5/2019,-0.48,-0.48
9/4/2019,-0.48,-0.48
9/3/2019,-0.48,-0.48
9/2/2019,-0.47,-0.47
8/30/2019,-0.46,-0.46
8/29/2019,-0.45,-0.45
8/28/2019,-0.45,-0.45
8/27/2019,-0.45,-0.45
8/26/2019,-0.45,-0.45
8/23/2019,-0.45,-0.45
8/22/2019,-0.46,-0.46
8/21/2019,-0.45,-0.45
8/20/2019,-0.44,-0.44
8/19/2019,-0.44,-0.44
8/16/2019,-0.43,-0.43
8/15/2019,-0.43,-0.43
8/14/2019,-0.43,-0.43
8/13/2019,-0.42,-0.42
8/12/2019,-0.42,-0.42
8/9/2019,-0.42,-0.42
8/8/2019,-0.42,-0.42
8/7/2019,-0.42,-0.42
8/6/2019,-0.41,-0.41
8/5/2019,-0.41,-0.41
8/2/2019,-0.42,-0.42
8/1/2019,-0.42,-0.42
7/31/2019,-0.42,-0.42
7/30/2019,-0.42,-0.42
7/29/2019,-0.4,-0.4
7/26/2019,-0.4,-0.4
7/25/2019,-0.42,-0.42
7/24/2019,-0.42,-0.42
7/23/2019,-0.4,-0.4
7/22/2019,-0.41,-0.41
7/19/2019,-0.41,-0.41
7/18/2019,-0.4,-0.4
7/17/2019,-0.41,-0.41
7/16/2019,-0.4,-0.4
7/15/2019,-0.4,-0.4
7/12/2019,-0.4,-0.4
7/11/2019,-0.4,-0.4
7/10/2019,-0.4,-0.4
7/9/2019,-0.39,-0.39
7/8/2019,-0.4,-0.4
7/5/2019,-0.39,-0.39
7/4/2019,-0.39,-0.39
7/3/2019,-0.39,-0.39
7/2/2019,-0.39,-0.39
7/1/2019,-0.39,-0.39
6/28/2019,-0.38,-0.38
6/27/2019,-0.38,-0.38
6/26/2019,-0.39,-0.39
6/25/2019,-0.38,-0.38
6/24/2019,-0.38,-0.38
6/21/2019,-0.38,-0.38
6/20/2019,-0.38,-0.38
6/19/2019,-0.38,-0.38
6/18/2019,-0.36,-0.36
6/17/2019,-0.36,-0.36
6/14/2019,-0.36,-0.36
6/13/2019,-0.37,-0.37
6/12/2019,-0.36,-0.36
6/11/2019,-0.37,-0.37
6/10/2019,-0.37,-0.37
6/7/2019,-0.37,-0.37
6/6/2019,-0.37,-0.37
6/5/2019,-0.35,-0.35
6/4/2019,-0.35,-0.35
6/3/2019,-0.34,-0.34
5/31/2019,-0.35,-0.35
5/30/2019,-0.35,-0.35
5/29/2019,-0.35,-0.35
5/28/2019,-0.36,-0.36
5/27/2019,-0.36,-0.36
5/24/2019,-0.36,-0.36
5/23/2019,-0.36,-0.36
5/22/2019,-0.36,-0.36
5/21/2019,-0.35,-0.35
5/20/2019,-0.35,-0.35
5/17/2019,-0.37,-0.37
5/16/2019,-0.36,-0.36
5/15/2019,-0.36,-0.36
5/14/2019,-0.36,-0.36
5/13/2019,-0.36,-0.36
5/10/2019,-0.36,-0.36
5/9/2019,-0.35,-0.35
5/8/2019,-0.35,-0.35
5/7/2019,-0.34,-0.34
5/6/2019,-0.34,-0.34
5/3/2019,-0.35,-0.35
5/2/2019,-0.34,-0.34
5/1/2019,-0.35,-0.35
