 Date,UMRTEMU Close,UMRTEMU Adj. Close
12/31/2019,7.4,7.4
11/30/2019,7.5,7.5
10/31/2019,7.5,7.5
9/30/2019,7.5,7.5
8/31/2019,7.4,7.4
7/31/2019,7.5,7.5
6/30/2019,7.5,7.5
5/31/2019,7.5,7.5
4/30/2019,7.6,7.6
3/31/2019,7.7,7.7
2/28/2019,7.8,7.8
1/31/2019,7.8,7.8
12/31/2018,7.8,7.8
11/30/2018,7.9,7.9
10/31/2018,8,8
9/30/2018,8.1,8.1
8/31/2018,8.1,8.1
7/31/2018,8.2,8.2
6/30/2018,8.2,8.2
5/31/2018,8.2,8.2
4/30/2018,8.4,8.4
3/31/2018,8.5,8.5
2/28/2018,8.6,8.6
1/31/2018,8.6,8.6
12/31/2017,8.6,8.6
11/30/2017,8.7,8.7
10/31/2017,8.8,8.8
9/30/2017,8.9,8.9
8/31/2017,9,9
7/31/2017,9.1,9.1
6/30/2017,9,9
5/31/2017,9.2,9.2
4/30/2017,9.2,9.2
3/31/2017,9.4,9.4
2/28/2017,9.5,9.5
1/31/2017,9.6,9.6
12/31/2016,9.6,9.6
11/30/2016,9.8,9.8
10/31/2016,9.8,9.8
9/30/2016,9.9,9.9
8/31/2016,9.9,9.9
7/31/2016,10,10
6/30/2016,10.1,10.1
5/31/2016,10.2,10.2
4/30/2016,10.2,10.2
3/31/2016,10.2,10.2
2/29/2016,10.3,10.3
1/31/2016,10.4,10.4
12/31/2015,10.4,10.4
11/30/2015,10.5,10.5
10/31/2015,10.6,10.6
9/30/2015,10.6,10.6
8/31/2015,10.7,10.7
7/31/2015,10.8,10.8
6/30/2015,11,11
5/31/2015,11.1,11.1
4/30/2015,11.1,11.1
3/31/2015,11.2,11.2
2/28/2015,11.2,11.2
1/31/2015,11.3,11.3
12/31/2014,11.3,11.3
11/30/2014,11.5,11.5
10/31/2014,11.5,11.5
9/30/2014,11.5,11.5
8/31/2014,11.5,11.5
7/31/2014,11.6,11.6
6/30/2014,11.5,11.5
5/31/2014,11.7,11.7
4/30/2014,11.7,11.7
3/31/2014,11.8,11.8
2/28/2014,11.9,11.9
1/31/2014,11.9,11.9
12/31/2013,11.9,11.9
11/30/2013,11.9,11.9
10/31/2013,11.9,11.9
9/30/2013,12,12
8/31/2013,12,12
7/31/2013,12.1,12.1
6/30/2013,12.1,12.1
5/31/2013,12.1,12.1
4/30/2013,12.1,12.1
3/31/2013,12.1,12.1
2/28/2013,12,12
1/31/2013,12,12
12/31/2012,11.9,11.9
11/30/2012,11.8,11.8
10/31/2012,11.7,11.7
9/30/2012,11.6,11.6
8/31/2012,11.5,11.5
7/31/2012,11.5,11.5
