 Date,FDTR Close,FDTR Adj. Close
12/11/2019,1.75,1.75
11/30/2019,1.75,1.75
10/30/2019,1.75,1.75
9/18/2019,2,2
8/31/2019,2.25,2.25
7/31/2019,2.25,2.25
6/19/2019,2.5,2.5
5/1/2019,2.5,2.5
4/30/2019,2.5,2.5
3/20/2019,2.5,2.5
2/28/2019,2.5,2.5
1/30/2019,2.5,2.5
12/19/2018,2.5,2.5
11/8/2018,2.25,2.25
10/31/2018,2.25,2.25
9/26/2018,2.25,2.25
8/1/2018,2,2
7/31/2018,2,2
6/13/2018,2,2
5/2/2018,1.75,1.75
4/30/2018,1.75,1.75
3/21/2018,1.75,1.75
2/28/2018,1.5,1.5
1/31/2018,1.5,1.5
12/13/2017,1.5,1.5
11/1/2017,1.25,1.25
10/31/2017,1.25,1.25
9/20/2017,1.25,1.25
8/31/2017,1.25,1.25
7/26/2017,1.25,1.25
6/14/2017,1.25,1.25
5/3/2017,1,1
4/30/2017,1,1
3/15/2017,1,1
2/1/2017,0.75,0.75
1/31/2017,0.75,0.75
12/14/2016,0.75,0.75
11/2/2016,0.5,0.5
10/31/2016,0.5,0.5
9/21/2016,0.5,0.5
8/31/2016,0.5,0.5
7/27/2016,0.5,0.5
6/15/2016,0.5,0.5
5/31/2016,0.5,0.5
4/27/2016,0.5,0.5
3/16/2016,0.5,0.5
2/29/2016,0.5,0.5
1/27/2016,0.5,0.5
12/16/2015,0.5,0.5
11/30/2015,0.25,0.25
10/28/2015,0.25,0.25
9/17/2015,0.25,0.25
8/31/2015,0.25,0.25
7/29/2015,0.25,0.25
6/17/2015,0.25,0.25
5/31/2015,0.25,0.25
4/29/2015,0.25,0.25
3/18/2015,0.25,0.25
2/28/2015,0.25,0.25
1/28/2015,0.25,0.25
12/17/2014,0.25,0.25
11/30/2014,0.25,0.25
10/29/2014,0.25,0.25
9/17/2014,0.25,0.25
8/31/2014,0.25,0.25
7/30/2014,0.25,0.25
6/18/2014,0.25,0.25
5/31/2014,0.25,0.25
4/30/2014,0.25,0.25
3/19/2014,0.25,0.25
2/28/2014,0.25,0.25
1/29/2014,0.25,0.25
12/18/2013,0.25,0.25
11/30/2013,0.25,0.25
10/30/2013,0.25,0.25
9/18/2013,0.25,0.25
8/31/2013,0.25,0.25
7/31/2013,0.25,0.25
6/19/2013,0.25,0.25
5/1/2013,0.25,0.25
4/30/2013,0.25,0.25
3/20/2013,0.25,0.25
2/28/2013,0.25,0.25
1/30/2013,0.25,0.25
12/12/2012,0.25,0.25
11/30/2012,0.25,0.25
10/24/2012,0.25,0.25
9/13/2012,0.25,0.25
8/1/2012,0.25,0.25
7/31/2012,0.25,0.25
6/20/2012,0.25,0.25
5/31/2012,0.25,0.25
4/25/2012,0.25,0.25
3/13/2012,0.25,0.25
2/29/2012,0.25,0.25
1/25/2012,0.25,0.25
12/13/2011,0.25,0.25
11/2/2011,0.25,0.25
10/31/2011,0.25,0.25
9/30/2011,0.25,0.25
8/9/2011,0.25,0.25
7/31/2011,0.25,0.25
6/22/2011,0.25,0.25
5/31/2011,0.25,0.25
4/27/2011,0.25,0.25
4/3/2011,0.25,0.25
3/15/2011,0.25,0.25
2/28/2011,0.25,0.25
1/26/2011,0.25,0.25
12/14/2010,0.25,0.25
11/4/2010,0.25,0.25
10/30/2010,0.25,0.25
9/21/2010,0.25,0.25
8/2/2010,0.25,0.25
7/1/2010,0.25,0.25
6/1/2010,0.25,0.25
5/3/2010,0.25,0.25
4/1/2010,0.25,0.25
3/1/2010,0.25,0.25
2/1/2010,0.25,0.25
1/4/2010,0.25,0.25
12/1/2009,0.25,0.25
11/2/2009,0.25,0.25
10/1/2009,0.25,0.25
9/1/2009,0.25,0.25
8/3/2009,0.25,0.25
7/1/2009,0.25,0.25
6/1/2009,0.25,0.25
5/1/2009,0.25,0.25
4/1/2009,0.25,0.25
3/2/2009,0.25,0.25
2/2/2009,0.25,0.25
1/2/2009,0.25,0.25
12/16/2008,0.25,0.25
12/1/2008,1,1
11/3/2008,1,1
10/29/2008,1,1
10/8/2008,1.5,1.5
