 Date,GBPUSD Open,GBPUSD Low,GBPUSD High,GBPUSD Close,GBPUSD Adj. Close
12/31/2019,1.3112,1.3104,1.3217,1.321,1.321
12/30/2019,1.3092,1.3072,1.315,1.3103,1.3103
12/27/2019,1.2993,1.2972,1.3117,1.3075,1.3075
12/26/2019,1.2963,1.2961,1.3015,1.3004,1.3004
12/25/2019,1.2945,1.2925,1.2962,1.2952,1.2952
12/24/2019,1.2935,1.2923,1.2968,1.2932,1.2932
12/23/2019,1.3003,1.2906,1.303,1.2943,1.2943
12/20/2019,1.3011,1.3004,1.3077,1.3005,1.3005
12/19/2019,1.3081,1.3,1.3126,1.3013,1.3013
12/18/2019,1.3129,1.3062,1.3134,1.3087,1.3087
12/17/2019,1.3328,1.3101,1.3336,1.3124,1.3124
12/16/2019,1.334,1.3322,1.3421,1.3346,1.3346
12/13/2019,1.331,1.3306,1.3515,1.3344,1.3344
12/12/2019,1.3196,1.3063,1.3227,1.317,1.317
12/11/2019,1.3157,1.3109,1.3212,1.3207,1.3207
12/10/2019,1.3146,1.3134,1.3209,1.319,1.319
12/9/2019,1.3137,1.3134,1.3178,1.315,1.315
12/6/2019,1.3157,1.3102,1.3165,1.3141,1.3141
12/5/2019,1.3104,1.3103,1.3165,1.3159,1.3159
12/4/2019,1.2993,1.2984,1.3119,1.3104,1.3104
12/3/2019,1.2932,1.2931,1.301,1.2997,1.2997
12/2/2019,1.2914,1.2897,1.2949,1.2949,1.2949
11/29/2019,1.2912,1.2882,1.2941,1.2934,1.2934
11/28/2019,1.2923,1.29,1.295,1.2909,1.2909
11/27/2019,1.2867,1.2829,1.2915,1.2906,1.2906
11/26/2019,1.2899,1.2839,1.2904,1.2864,1.2864
11/25/2019,1.2853,1.2842,1.2911,1.2902,1.2902
11/22/2019,1.2914,1.2824,1.2927,1.2836,1.2836
11/21/2019,1.2923,1.2894,1.2969,1.2908,1.2908
11/20/2019,1.2926,1.2889,1.2931,1.2923,1.2923
11/19/2019,1.2955,1.2911,1.2969,1.2928,1.2928
11/18/2019,1.2919,1.2912,1.2982,1.295,1.295
11/15/2019,1.2881,1.2869,1.2917,1.2905,1.2905
11/14/2019,1.2852,1.2826,1.2888,1.2879,1.2879
11/13/2019,1.2846,1.2824,1.2861,1.2853,1.2853
11/12/2019,1.2855,1.2816,1.2873,1.2852,1.2852
11/11/2019,1.2795,1.2786,1.2891,1.2853,1.2853
11/8/2019,1.2815,1.277,1.2824,1.2784,1.2784
11/7/2019,1.2853,1.2796,1.2877,1.2814,1.2814
11/6/2019,1.2885,1.2845,1.2897,1.2856,1.2856
11/5/2019,1.2885,1.286,1.2915,1.2886,1.2886
11/4/2019,1.293,1.2876,1.2943,1.288,1.288
11/1/2019,1.2941,1.2927,1.2972,1.2939,1.2939
10/31/2019,1.2901,1.2895,1.2975,1.2942,1.2942
10/30/2019,1.2864,1.2848,1.2907,1.2899,1.2899
10/29/2019,1.2864,1.2809,1.2902,1.2869,1.2869
10/28/2019,1.2817,1.2812,1.2875,1.2858,1.2858
10/25/2019,1.2853,1.2805,1.2859,1.2821,1.2821
10/24/2019,1.2911,1.2789,1.2945,1.2851,1.2851
10/23/2019,1.2885,1.2841,1.2921,1.2914,1.2914
10/22/2019,1.296,1.2863,1.3,1.2872,1.2872
10/21/2019,1.2952,1.2875,1.3012,1.2961,1.2961
10/18/2019,1.2887,1.2841,1.2963,1.2947,1.2947
10/17/2019,1.2832,1.2755,1.2967,1.2892,1.2892
10/16/2019,1.2788,1.2671,1.2866,1.2832,1.2832
10/15/2019,1.2608,1.2603,1.2796,1.2788,1.2788
10/14/2019,1.2629,1.2522,1.2649,1.261,1.261
10/11/2019,1.2443,1.2413,1.2694,1.264,1.264
10/10/2019,1.2208,1.2206,1.2468,1.2443,1.2443
10/9/2019,1.2219,1.2199,1.2279,1.2205,1.2205
10/8/2019,1.2294,1.2196,1.2303,1.2218,1.2218
10/7/2019,1.231,1.2288,1.2336,1.2292,1.2292
10/4/2019,1.2334,1.2277,1.2356,1.2333,1.2333
10/3/2019,1.2305,1.2268,1.2412,1.2334,1.2334
10/2/2019,1.23,1.2227,1.2323,1.2298,1.2298
10/1/2019,1.2288,1.2228,1.2314,1.2306,1.2306
9/30/2019,1.2298,1.2277,1.2344,1.2295,1.2295
9/27/2019,1.2329,1.2272,1.2337,1.2293,1.2293
9/26/2019,1.2356,1.2304,1.238,1.2323,1.2323
9/25/2019,1.2485,1.2349,1.2499,1.2357,1.2357
9/24/2019,1.2429,1.2414,1.2501,1.2495,1.2495
9/23/2019,1.2466,1.2415,1.249,1.2434,1.2434
9/20/2019,1.2526,1.2463,1.258,1.2476,1.2476
9/19/2019,1.2476,1.2439,1.256,1.2522,1.2522
9/18/2019,1.2501,1.2441,1.251,1.2473,1.2473
9/17/2019,1.243,1.2393,1.2526,1.2499,1.2499
9/16/2019,1.2479,1.2402,1.2503,1.2432,1.2432
9/13/2019,1.2338,1.2328,1.2505,1.25,1.25
9/12/2019,1.2323,1.2285,1.2366,1.2335,1.2335
9/11/2019,1.235,1.2313,1.237,1.2329,1.2329
9/10/2019,1.2346,1.2308,1.2374,1.2346,1.2346
9/9/2019,1.2272,1.2236,1.2381,1.2346,1.2346
9/6/2019,1.2332,1.228,1.2343,1.229,1.229
9/5/2019,1.2252,1.2212,1.2353,1.2332,1.2332
9/4/2019,1.2095,1.2081,1.2257,1.2252,1.2252
9/3/2019,1.2067,1.1961,1.2106,1.2081,1.2081
9/2/2019,1.2153,1.2038,1.2174,1.2067,1.2067
8/30/2019,1.2179,1.214,1.2225,1.2161,1.2161
8/29/2019,1.2212,1.2173,1.2232,1.2183,1.2183
8/28/2019,1.2291,1.2168,1.2291,1.2213,1.2213
8/27/2019,1.2214,1.221,1.2307,1.229,1.229
8/26/2019,1.227,1.2209,1.2286,1.2219,1.2219
8/23/2019,1.2251,1.2197,1.2293,1.2285,1.2285
8/22/2019,1.2129,1.211,1.2269,1.2248,1.2248
8/21/2019,1.217,1.2116,1.2175,1.2132,1.2132
8/20/2019,1.2131,1.2069,1.2177,1.217,1.217
8/19/2019,1.2157,1.2105,1.2172,1.2126,1.2126
8/16/2019,1.2084,1.2079,1.2175,1.2145,1.2145
8/15/2019,1.2061,1.2051,1.2145,1.2084,1.2084
8/14/2019,1.2057,1.2046,1.2097,1.2057,1.2057
8/13/2019,1.2076,1.2045,1.2097,1.2059,1.2059
8/12/2019,1.2051,1.2016,1.2101,1.2075,1.2075
8/9/2019,1.2132,1.2026,1.2149,1.2027,1.2027
8/8/2019,1.2142,1.2103,1.2181,1.2134,1.2134
8/7/2019,1.2173,1.2122,1.219,1.2144,1.2144
8/6/2019,1.2145,1.2139,1.2208,1.2166,1.2166
8/5/2019,1.2141,1.2102,1.2188,1.2145,1.2145
8/2/2019,1.2128,1.2091,1.2169,1.2162,1.2162
