 Date,CCMP_EC Open,CCMP_EC Low,CCMP_EC High,CCMP_EC Close,CCMP_EC Adj. Close
12/31/2019,"8,918.74","8,912.77","8,975.35","8,972.60","8,972.60"
12/30/2019,"9,004.45","8,909.19","9,006.36","8,945.99","8,945.99"
12/27/2019,"9,049.47","8,987.32","9,052.00","9,006.62","9,006.62"
12/26/2019,"8,970.21","8,968.45","9,022.46","9,022.39","9,022.39"
12/24/2019,"8,955.01","8,934.36","8,957.12","8,952.88","8,952.88"
12/23/2019,"8,950.20","8,934.55","8,956.64","8,945.65","8,945.65"
12/20/2019,"8,911.84","8,901.87","8,931.91","8,924.95","8,924.95"
12/19/2019,"8,838.97","8,838.97","8,888.13","8,887.22","8,887.22"
12/18/2019,"8,834.65","8,820.42","8,848.76","8,827.74","8,827.74"
12/17/2019,"8,829.47","8,804.60","8,831.99","8,823.36","8,823.36"
12/16/2019,"8,791.31","8,789.77","8,833.45","8,814.23","8,814.23"
12/13/2019,"8,713.91","8,697.58","8,768.87","8,734.88","8,734.88"
12/12/2019,"8,645.36","8,633.60","8,745.82","8,717.32","8,717.32"
12/11/2019,"8,631.12","8,622.35","8,658.48","8,654.05","8,654.05"
12/10/2019,"8,623.56","8,600.82","8,650.76","8,616.18","8,616.18"
12/9/2019,"8,650.86","8,619.77","8,678.85","8,621.83","8,621.83"
12/6/2019,"8,634.25","8,630.58","8,665.44","8,656.53","8,656.53"
12/5/2019,"8,587.93","8,541.92","8,588.89","8,570.70","8,570.70"
12/4/2019,"8,557.44","8,552.38","8,584.88","8,566.67","8,566.67"
12/3/2019,"8,460.72","8,435.40","8,523.98","8,520.64","8,520.64"
12/2/2019,"8,672.84","8,540.16","8,672.84","8,567.99","8,567.99"
11/29/2019,"8,682.01","8,664.03","8,697.33","8,665.47","8,665.47"
11/28/2019,"8,705.17","8,705.17","8,705.17","8,705.17","8,705.17"
11/27/2019,"8,669.59","8,662.58","8,705.91","8,705.17","8,705.17"
11/26/2019,"8,635.40","8,625.62","8,659.73","8,647.93","8,647.93"
