 Date,SPX Open,SPX Low,SPX High,SPX Close,SPX Adj. Close
12/31/2019,"3,223.51","3,212.30","3,229.81","3,227.57","3,227.57"
12/30/2019,"3,225.64","3,216.13","3,242.68","3,220.04","3,220.04"
12/27/2019,"3,236.62","3,233.94","3,251.80","3,238.92","3,238.92"
12/26/2019,"3,231.00","3,227.27","3,237.37","3,236.62","3,236.62"
12/24/2019,"3,222.48","3,220.15","3,227.99","3,224.33","3,224.33"
12/23/2019,"3,224.93","3,222.62","3,230.65","3,222.62","3,222.62"
12/20/2019,"3,216.10","3,204.14","3,225.24","3,222.26","3,222.26"
12/19/2019,"3,194.60","3,189.89","3,205.60","3,203.44","3,203.44"
12/18/2019,"3,193.18","3,188.50","3,198.79","3,193.72","3,193.72"
12/17/2019,"3,192.07","3,187.36","3,198.78","3,193.30","3,193.30"
12/16/2019,"3,191.40","3,180.21","3,197.99","3,191.16","3,191.16"
12/13/2019,"3,169.00","3,156.38","3,184.24","3,169.93","3,169.93"
12/12/2019,"3,165.59","3,137.22","3,176.82","3,170.01","3,170.01"
12/11/2019,"3,135.75","3,133.21","3,143.98","3,141.63","3,141.63"
12/10/2019,"3,135.36","3,126.09","3,142.12","3,132.52","3,132.52"
12/9/2019,"3,147.61","3,136.99","3,148.95","3,137.24","3,137.24"
12/6/2019,"3,143.63","3,120.59","3,150.70","3,144.41","3,144.41"
12/5/2019,"3,111.97","3,103.23","3,124.33","3,116.09","3,116.09"
12/4/2019,"3,103.50","3,102.53","3,119.38","3,112.76","3,112.76"
12/3/2019,"3,087.41","3,070.33","3,094.97","3,093.20","3,093.20"
12/2/2019,"3,126.58","3,110.70","3,158.13","3,113.98","3,113.98"
11/29/2019,"3,148.73","3,139.71","3,150.33","3,143.62","3,143.62"
11/27/2019,"3,144.93","3,142.68","3,154.07","3,153.52","3,153.52"
11/26/2019,"3,137.03","3,128.68","3,142.68","3,142.18","3,142.18"
11/25/2019,"3,127.66","3,117.69","3,133.71","3,133.71","3,133.71"
11/22/2019,"3,111.04","3,098.63","3,115.44","3,110.29","3,110.29"
11/21/2019,"3,102.66","3,094.31","3,114.38","3,108.28","3,108.28"
11/20/2019,"3,115.64","3,090.88","3,118.89","3,106.69","3,106.69"
11/19/2019,"3,121.53","3,113.14","3,133.02","3,120.57","3,120.57"
11/18/2019,"3,115.82","3,111.83","3,126.34","3,119.54","3,119.54"
11/15/2019,"3,104.31","3,103.25","3,117.73","3,117.73","3,117.73"
11/14/2019,"3,093.24","3,082.75","3,098.11","3,095.86","3,095.86"
11/13/2019,"3,084.18","3,078.80","3,098.06","3,094.04","3,094.04"
11/12/2019,"3,089.28","3,084.73","3,102.61","3,091.84","3,091.84"
11/11/2019,"3,080.33","3,075.82","3,088.33","3,087.01","3,087.01"
11/8/2019,"3,081.25","3,073.58","3,093.09","3,093.08","3,093.08"
11/7/2019,"3,087.02","3,080.23","3,097.77","3,085.18","3,085.18"
11/6/2019,"3,075.10","3,065.89","3,078.34","3,076.78","3,076.78"
11/5/2019,"3,080.80","3,072.15","3,083.95","3,074.62","3,074.62"
11/4/2019,"3,078.96","3,074.87","3,085.20","3,078.27","3,078.27"
11/1/2019,"3,050.72","3,050.72","3,066.95","3,066.91","3,066.91"
10/31/2019,"3,046.90","3,023.19","3,046.90","3,037.56","3,037.56"
10/30/2019,"3,039.74","3,025.96","3,050.10","3,046.77","3,046.77"
10/29/2019,"3,035.39","3,034.81","3,047.87","3,036.89","3,036.89"
10/28/2019,"3,032.12","3,032.12","3,044.08","3,039.42","3,039.42"
10/25/2019,"3,003.32","3,001.94","3,027.39","3,022.55","3,022.55"
10/24/2019,"3,014.78","3,000.42","3,016.07","3,010.29","3,010.29"
10/23/2019,"2,994.01","2,991.21","3,004.78","3,004.52","3,004.52"
10/22/2019,"3,010.73","2,995.04","3,014.57","2,995.99","2,995.99"
10/21/2019,"2,996.48","2,995.35","3,007.33","3,006.72","3,006.72"
10/18/2019,"2,996.84","2,976.31","3,000.00","2,986.20","2,986.20"
10/17/2019,"3,000.77","2,991.79","3,008.29","2,997.95","2,997.95"
10/16/2019,"2,989.68","2,985.20","2,997.54","2,989.69","2,989.69"
10/15/2019,"2,973.61","2,973.61","3,003.28","2,995.68","2,995.68"
10/14/2019,"2,965.81","2,962.94","2,972.84","2,966.15","2,966.15"
10/11/2019,"2,963.07","2,963.07","2,993.28","2,970.27","2,970.27"
10/10/2019,"2,918.55","2,917.12","2,948.46","2,938.13","2,938.13"
10/9/2019,"2,911.10","2,907.41","2,929.32","2,919.40","2,919.40"
10/8/2019,"2,920.40","2,892.66","2,925.47","2,893.06","2,893.06"
10/7/2019,"2,944.23","2,935.68","2,959.75","2,938.79","2,938.79"
10/4/2019,"2,918.56","2,918.56","2,953.74","2,952.01","2,952.01"
10/3/2019,"2,885.38","2,855.94","2,911.13","2,910.63","2,910.63"
10/2/2019,"2,924.78","2,874.93","2,924.78","2,887.61","2,887.61"
10/1/2019,"2,983.69","2,938.70","2,992.53","2,940.25","2,940.25"
9/30/2019,"2,967.07","2,967.07","2,983.85","2,976.74","2,976.74"
