 Date,USDCHF Open,USDCHF Low,USDCHF High,USDCHF Close,USDCHF Adj. Close,USDCHF SMA (200D),USDCHF SMA (50D)
12/31/2019,0.9693,0.9647,0.9697,0.9653,0.9653,0.9928,0.9881
12/30/2019,0.9774,0.9675,0.9774,0.9693,0.9693,0.9929,0.9886
12/27/2019,0.9809,0.9731,0.9817,0.9745,0.9745,0.993,0.9889
12/26/2019,0.9804,0.9796,0.9819,0.9815,0.9815,0.9931,0.9891
12/25/2019,0.9804,0.9803,0.982,0.9816,0.9816,0.9932,0.9892
12/24/2019,0.9812,0.9798,0.9831,0.9803,0.9803,0.9933,0.9895
12/23/2019,0.9821,0.9802,0.9828,0.9816,0.9816,0.9933,0.9899
12/20/2019,0.9785,0.978,0.9829,0.9817,0.9817,0.9934,0.9902
12/19/2019,0.9804,0.9771,0.9812,0.9778,0.9778,0.9935,0.9905
12/18/2019,0.9806,0.9796,0.982,0.9799,0.9799,0.9937,0.9909
12/17/2019,0.9823,0.9796,0.9844,0.9807,0.9807,0.9938,0.9912
12/16/2019,0.9837,0.982,0.9846,0.9826,0.9826,0.9939,0.9915
12/13/2019,0.9846,0.9813,0.9862,0.9841,0.9841,0.9941,0.9917
12/12/2019,0.983,0.9809,0.9875,0.9848,0.9848,0.9942,0.9919
12/11/2019,0.9846,0.9816,0.9863,0.9823,0.9823,0.9943,0.9922
12/10/2019,0.9886,0.9834,0.9886,0.9842,0.9842,0.9944,0.9925
12/9/2019,0.9908,0.9876,0.991,0.9878,0.9878,0.9945,0.9927
12/6/2019,0.9873,0.9866,0.9917,0.9899,0.9899,0.9946,0.9929
12/5/2019,0.9882,0.9869,0.9895,0.9874,0.9874,0.9946,0.9929
12/4/2019,0.9871,0.9855,0.9899,0.9888,0.9888,0.9947,0.993
12/3/2019,0.9912,0.9858,0.9926,0.9873,0.9873,0.9948,0.9931
12/2/2019,1.0002,0.9911,1.0009,0.9911,0.9911,0.9948,0.9931
11/29/2019,0.9985,0.9982,1.0023,1,1,0.9949,0.993
11/28/2019,0.9992,0.9982,0.9996,0.999,0.999,0.9949,0.9929
11/27/2019,0.9969,0.9969,1,0.9993,0.9993,0.9949,0.9927
11/26/2019,0.9964,0.9963,0.9986,0.9971,0.9971,0.9949,0.9927
11/25/2019,0.998,0.996,0.9985,0.997,0.997,0.9949,0.9926
11/22/2019,0.9931,0.9928,0.998,0.9974,0.9974,0.9949,0.9925
11/21/2019,0.9909,0.9892,0.9935,0.9933,0.9933,0.995,0.9924
11/20/2019,0.9905,0.9899,0.9935,0.9907,0.9907,0.995,0.9923
11/19/2019,0.9895,0.9887,0.9918,0.9906,0.9906,0.9951,0.9924
11/18/2019,0.9896,0.9869,0.9914,0.9885,0.9885,0.9952,0.9924
11/15/2019,0.9879,0.9879,0.991,0.9897,0.9897,0.9953,0.9925
11/14/2019,0.9901,0.9871,0.9908,0.9887,0.9887,0.9953,0.9924
11/13/2019,0.9932,0.9885,0.9937,0.9892,0.9892,0.9954,0.9924
11/12/2019,0.9934,0.9923,0.9964,0.9928,0.9928,0.9955,0.9922
11/11/2019,0.9967,0.993,0.9977,0.9934,0.9934,0.9955,0.9921
11/8/2019,0.9952,0.9944,0.9979,0.9977,0.9977,0.9955,0.9921
11/7/2019,0.9924,0.9912,0.9975,0.9949,0.9949,0.9955,0.9919
11/6/2019,0.993,0.9916,0.9939,0.9923,0.9923,0.9955,0.9917
11/5/2019,0.9879,0.9876,0.9936,0.9927,0.9927,0.9955,0.9915
11/4/2019,0.9861,0.9853,0.9889,0.9881,0.9881,0.9955,0.9913
11/1/2019,0.9864,0.9851,0.9893,0.9857,0.9857,0.9956,0.9911
10/31/2019,0.9894,0.9861,0.9895,0.9864,0.9864,0.9956,0.9909
10/30/2019,0.994,0.989,0.9945,0.9896,0.9896,0.9956,0.9909
10/29/2019,0.9946,0.9934,0.9964,0.994,0.994,0.9957,0.9907
10/28/2019,0.9951,0.994,0.9969,0.9946,0.9946,0.9957,0.9904
10/25/2019,0.9921,0.9908,0.9954,0.9946,0.9946,0.9957,0.9901
10/24/2019,0.9906,0.9892,0.9928,0.9922,0.9922,0.9957,0.9898
10/23/2019,0.9895,0.9886,0.9914,0.9909,0.9909,0.9957,0.9895
10/22/2019,0.9859,0.9856,0.9896,0.9895,0.9895,0.9957,0.9891
10/21/2019,0.9848,0.9842,0.9875,0.9859,0.9859,0.9957,0.9889
10/18/2019,0.988,0.9842,0.9891,0.9842,0.9842,0.9957,0.9886
10/17/2019,0.9954,0.9868,0.9958,0.988,0.988,0.9957,0.9883
10/16/2019,0.9988,0.9946,0.999,0.9951,0.9951,0.9957,0.9881
10/15/2019,0.9974,0.9964,0.9996,0.9988,0.9988,0.9955,0.9877
10/14/2019,0.9971,0.9945,0.9983,0.9972,0.9972,0.9955,0.9872
10/11/2019,0.9971,0.9958,0.999,0.9971,0.9971,0.9954,0.9867
10/10/2019,0.9947,0.9915,0.9972,0.9971,0.9971,0.9953,0.9864
10/9/2019,0.9926,0.9917,0.9963,0.9959,0.9959,0.9953,0.9863
10/8/2019,0.9947,0.9905,0.9958,0.9932,0.9932,0.9952,0.9863
10/7/2019,0.9945,0.9928,0.9964,0.9948,0.9948,0.9952,0.9862
10/4/2019,0.999,0.993,1.0007,0.9953,0.9953,0.9951,0.9862
10/3/2019,0.9969,0.9954,1.0027,0.9992,0.9992,0.9951,0.9861
10/2/2019,0.9937,0.9922,1.0022,0.9969,0.9969,0.9951,0.9859
10/1/2019,0.9978,0.9924,1.0016,0.9932,0.9932,0.995,0.9857
9/30/2019,0.9913,0.9904,0.9988,0.9979,0.9979,0.995,0.9855
9/27/2019,0.9936,0.9899,0.9948,0.9912,0.9912,0.995,0.9852
9/26/2019,0.9914,0.9906,0.9948,0.9936,0.9936,0.995,0.985
9/25/2019,0.9855,0.9852,0.9925,0.9923,0.9923,0.995,0.9848
9/24/2019,0.9899,0.9845,0.9914,0.9855,0.9855,0.995,0.9847
9/23/2019,0.9918,0.9875,0.9952,0.9899,0.9899,0.9951,0.9847
9/20/2019,0.9925,0.9893,0.9935,0.9911,0.9911,0.9951,0.9846
9/19/2019,0.9967,0.99,0.9983,0.9925,0.9925,0.9951,0.9845
9/18/2019,0.9933,0.9926,0.9983,0.9975,0.9975,0.9951,0.9845
9/17/2019,0.9923,0.9913,0.9968,0.993,0.993,0.995,0.9843
9/16/2019,0.9878,0.9865,0.9939,0.9928,0.9928,0.995,0.9843
9/13/2019,0.9904,0.9855,0.9911,0.9901,0.9901,0.9951,0.9843
9/12/2019,0.9929,0.9882,0.9945,0.9904,0.9904,0.9951,0.9844
9/11/2019,0.9921,0.9912,0.9943,0.9928,0.9928,0.9951,0.9843
9/10/2019,0.9921,0.989,0.9931,0.9924,0.9924,0.9952,0.9841
9/9/2019,0.9876,0.9874,0.9923,0.9922,0.9922,0.9952,0.984
9/6/2019,0.9858,0.9855,0.9917,0.9878,0.9878,0.9952,0.9839
9/5/2019,0.9804,0.9804,0.9873,0.9857,0.9857,0.9952,0.9837
9/4/2019,0.9876,0.9798,0.9883,0.9812,0.9812,0.9953,0.9835
9/3/2019,0.9907,0.9864,0.9928,0.9868,0.9868,0.9954,0.9835
9/2/2019,0.9899,0.9889,0.9919,0.9909,0.9909,0.9954,0.9832
8/30/2019,0.9866,0.9859,0.9918,0.9898,0.9898,0.9954,0.9828
8/29/2019,0.9819,0.9801,0.9875,0.9866,0.9866,0.9955,0.9826
8/28/2019,0.9814,0.9802,0.9828,0.9819,0.9819,0.9955,0.9825
8/27/2019,0.9782,0.9776,0.9836,0.9815,0.9815,0.9956,0.9827
8/26/2019,0.9728,0.9714,0.9808,0.979,0.979,0.9957,0.9831
8/23/2019,0.9837,0.9736,0.9877,0.975,0.975,0.9959,0.9835
8/22/2019,0.9818,0.9811,0.9845,0.9838,0.9838,0.996,0.984
8/21/2019,0.9778,0.9775,0.9831,0.9825,0.9825,0.9962,0.9842
8/20/2019,0.9815,0.9775,0.9817,0.978,0.978,0.9963,0.9844
8/19/2019,0.9788,0.9771,0.9821,0.9816,0.9816,0.9964,0.9847
8/16/2019,0.9765,0.9762,0.9809,0.9787,0.9787,0.9965,0.9849
8/15/2019,0.9726,0.9723,0.9776,0.9765,0.9765,0.9966,0.9851
8/14/2019,0.9767,0.9706,0.9769,0.9734,0.9734,0.9968,0.9854
8/13/2019,0.9692,0.9661,0.9767,0.9765,0.9765,0.9969,0.9858
8/12/2019,0.9735,0.9684,0.9753,0.9692,0.9692,0.997,0.9861
8/9/2019,0.9744,0.971,0.9758,0.9728,0.9728,0.9972,0.9866
8/8/2019,0.9754,0.9738,0.9786,0.9748,0.9748,0.9974,0.9871
8/7/2019,0.9772,0.9693,0.9797,0.9753,0.9753,0.9975,0.9878
8/6/2019,0.9728,0.9704,0.9793,0.9764,0.9764,0.9976,0.9885
8/5/2019,0.9837,0.9717,0.9837,0.9735,0.9735,0.9978,0.9891
8/2/2019,0.9903,0.9815,0.9908,0.9824,0.9824,0.9979,0.9897
8/1/2019,0.994,0.9889,0.9973,0.9903,0.9903,0.998,0.9901
7/31/2019,0.9905,0.9886,0.9949,0.9939,0.9939,0.998,0.9903
7/30/2019,0.9917,0.9892,0.9922,0.9902,0.9902,0.998,0.9906
7/29/2019,0.9935,0.9909,0.9937,0.9917,0.9917,0.998,0.9911
7/26/2019,0.9909,0.99,0.9946,0.9933,0.9933,0.998,0.9914
7/25/2019,0.9847,0.9844,0.9917,0.9908,0.9908,0.998,0.9918
7/24/2019,0.9853,0.9837,0.9874,0.9848,0.9848,0.998,0.9921
7/23/2019,0.982,0.9818,0.9859,0.9853,0.9853,0.998,0.9926
7/22/2019,0.9828,0.9804,0.984,0.982,0.982,0.9981,0.9931
7/19/2019,0.9814,0.9809,0.9846,0.9819,0.9819,0.9981,0.9936
7/18/2019,0.9877,0.981,0.9891,0.9814,0.9814,0.9982,0.9942
7/17/2019,0.9879,0.9865,0.9907,0.9875,0.9875,0.9982,0.9948
7/16/2019,0.9845,0.9836,0.9894,0.9879,0.9879,0.9982,0.9955
7/15/2019,0.9843,0.9818,0.9854,0.9846,0.9846,0.9983,0.9961
7/12/2019,0.9899,0.9837,0.9908,0.9842,0.9842,0.9983,0.9968
7/11/2019,0.9907,0.9848,0.9907,0.9901,0.9901,0.9983,0.9974
7/10/2019,0.9936,0.9888,0.9941,0.9896,0.9896,0.9983,0.998
7/9/2019,0.9937,0.9923,0.995,0.9936,0.9936,0.9982,0.9986
7/8/2019,0.9919,0.9899,0.9947,0.9939,0.9939,0.9981,0.9991
7/5/2019,0.985,0.9845,0.9932,0.9917,0.9917,0.998,0.9996
7/4/2019,0.9872,0.9849,0.9872,0.9851,0.9851,0.9979,1.0002
7/3/2019,0.9863,0.9835,0.9873,0.9869,0.9869,0.9978,1.0009
7/2/2019,0.9876,0.9836,0.9888,0.9863,0.9863,0.9976,1.0015
7/1/2019,0.9791,0.9782,0.9884,0.9877,0.9877,0.9975,1.0022
6/28/2019,0.9765,0.9739,0.9773,0.9766,0.9766,0.9974,1.0028
6/27/2019,0.9781,0.9761,0.9814,0.9765,0.9765,0.9973,1.0035
6/26/2019,0.9756,0.9744,0.9784,0.9781,0.9781,0.9973,1.0043
6/25/2019,0.9718,0.9694,0.9776,0.9755,0.9755,0.9972,1.0049
6/24/2019,0.9764,0.9711,0.9782,0.9719,0.9719,0.9971,1.0056
6/21/2019,0.9816,0.9757,0.9838,0.9761,0.9761,0.9971,1.0062
6/20/2019,0.9943,0.9797,0.9945,0.9816,0.9816,0.9971,1.0068
6/19/2019,1.0006,0.9918,1.0015,0.9942,0.9942,0.9971,1.0072
6/18/2019,0.9992,0.9966,1.0012,1.0004,1.0004,0.997,1.0074
6/17/2019,0.9985,0.9969,0.9998,0.9992,0.9992,0.9968,1.0074
6/14/2019,0.994,0.9926,0.9995,0.9987,0.9987,0.9967,1.0074
6/13/2019,0.9956,0.9918,0.9959,0.9938,0.9938,0.9965,1.0074
6/12/2019,0.9924,0.9903,0.9959,0.9955,0.9955,0.9964,1.0075
6/11/2019,0.9899,0.9893,0.9936,0.9924,0.9924,0.9963,1.0076
