 Date,USDJPY Open,USDJPY Low,USDJPY High,USDJPY Close,USDJPY Adj. Close
12/31/2019,108.8805,108.473,108.8855,108.506,108.506
12/30/2019,109.4505,108.7765,109.4835,108.8335,108.8335
12/27/2019,109.5875,109.3915,109.6055,109.426,109.426
12/26/2019,109.3845,109.366,109.682,109.6275,109.6275
12/25/2019,109.3855,109.3325,109.417,109.3425,109.3425
12/24/2019,109.3945,109.3265,109.44,109.394,109.394
12/23/2019,109.398,109.342,109.536,109.384,109.384
12/20/2019,109.3675,109.2615,109.5265,109.476,109.476
12/19/2019,109.589,109.182,109.679,109.287,109.287
12/18/2019,109.4925,109.4015,109.624,109.564,109.564
12/17/2019,109.543,109.444,109.63,109.518,109.518
12/16/2019,109.3025,109.3025,109.671,109.5655,109.5655
12/13/2019,109.2695,109.211,109.6975,109.333,109.333
12/12/2019,108.558,108.4645,109.427,109.3315,109.3315
12/11/2019,108.722,108.482,108.8425,108.543,108.543
12/10/2019,108.553,108.528,108.7675,108.762,108.762
12/9/2019,108.6485,108.435,108.676,108.604,108.604
12/6/2019,108.76,108.551,108.894,108.568,108.568
12/5/2019,108.8645,108.659,108.9885,108.768,108.768
12/4/2019,108.6325,108.4345,108.9615,108.869,108.869
12/3/2019,109.0285,108.488,109.2055,108.638,108.638
12/2/2019,109.5445,108.929,109.7235,108.9555,108.9555
11/29/2019,109.515,109.402,109.668,109.4545,109.4545
11/28/2019,109.5545,109.345,109.568,109.518,109.518
11/27/2019,109.0445,109.0235,109.5985,109.551,109.551
11/26/2019,108.93,108.881,109.176,109.04,109.04
11/25/2019,108.6845,108.6695,108.9745,108.952,108.952
11/22/2019,108.644,108.482,108.7175,108.6365,108.6365
11/21/2019,108.6025,108.2815,108.67,108.625,108.625
11/20/2019,108.5435,108.361,108.738,108.572,108.572
11/19/2019,108.68,108.454,108.836,108.557,108.557
11/18/2019,108.8045,108.516,109.067,108.645,108.645
11/15/2019,108.4275,108.385,108.854,108.8155,108.8155
11/14/2019,108.8205,108.257,108.8625,108.435,108.435
11/13/2019,109.0045,108.659,109.147,108.7705,108.7705
11/12/2019,109.055,108.9405,109.288,108.985,108.985
11/11/2019,109.214,108.9045,109.256,109.0505,109.0505
11/8/2019,109.283,109.086,109.4645,109.214,109.214
11/7/2019,108.975,108.6545,109.4825,109.272,109.272
11/6/2019,109.147,108.835,109.183,108.942,108.942
11/5/2019,108.596,108.5595,109.232,109.177,109.177
11/4/2019,108.2395,108.196,108.65,108.6075,108.6075
11/1/2019,108.033,107.908,108.324,108.1635,108.1635
10/31/2019,108.8485,107.9495,108.8965,108.0265,108.0265
10/30/2019,108.9005,108.743,109.272,108.85,108.85
10/29/2019,108.945,108.813,109.046,108.8855,108.8855
10/28/2019,108.7445,108.662,109.0295,108.969,108.969
10/25/2019,108.5935,108.515,108.7735,108.668,108.668
10/24/2019,108.68,108.506,108.747,108.6315,108.6315
10/23/2019,108.4815,108.275,108.701,108.6945,108.6945
10/22/2019,108.615,108.4495,108.72,108.4825,108.4825
10/21/2019,108.4625,108.3225,108.647,108.606,108.606
10/18/2019,108.6605,108.3945,108.7175,108.399,108.399
10/17/2019,108.7545,108.496,108.923,108.6595,108.6595
10/16/2019,108.8625,108.594,108.865,108.7635,108.7635
10/15/2019,108.4,108.159,108.896,108.857,108.857
10/14/2019,108.3555,108.0625,108.5165,108.3955,108.3955
10/11/2019,107.985,107.8525,108.612,108.4095,108.4095
10/10/2019,107.4655,107.051,107.97,107.9685,107.9685
10/9/2019,107.0695,106.9335,107.6,107.4795,107.4795
10/8/2019,107.265,106.8315,107.435,107.084,107.084
10/7/2019,106.683,106.6685,107.4315,107.2665,107.2665
10/4/2019,106.9205,106.649,107.1275,106.905,106.905
10/3/2019,107.2,106.5235,107.291,106.9155,106.9155
10/2/2019,107.7425,107.06,107.888,107.18,107.18
10/1/2019,108.085,107.686,108.4535,107.749,107.749
9/30/2019,107.978,107.7485,108.173,108.083,108.083
9/27/2019,107.8305,107.661,108.178,107.927,107.927
9/26/2019,107.7705,107.438,107.955,107.8375,107.8375
9/25/2019,107.0635,107.003,107.879,107.7725,107.7725
9/24/2019,107.5445,106.964,107.7735,107.085,107.085
9/23/2019,107.7275,107.3125,107.759,107.5445,107.5445
9/20/2019,108.018,107.532,108.067,107.5435,107.5435
9/19/2019,108.4505,107.806,108.4675,108.0475,108.0475
9/18/2019,108.128,108.0865,108.4765,108.451,108.451
9/17/2019,108.107,108.033,108.345,108.1305,108.1305
9/16/2019,107.5635,107.509,108.163,108.143,108.143
9/13/2019,108.1055,107.932,108.259,108.097,108.097
9/12/2019,107.8195,107.54,108.187,108.089,108.089
9/11/2019,107.525,107.5015,107.8545,107.8145,107.8145
9/10/2019,107.2485,107.192,107.58,107.543,107.543
9/9/2019,106.8325,106.7725,107.2695,107.247,107.247
9/6/2019,106.9435,106.6415,107.101,106.9135,106.9135
9/5/2019,106.415,106.327,107.193,106.9435,106.9435
9/4/2019,105.9545,105.8405,106.4285,106.381,106.381
9/3/2019,106.244,105.763,106.386,105.933,105.933
9/2/2019,106.0895,105.96,106.399,106.2315,106.2315
8/30/2019,106.5205,106.122,106.543,106.2615,106.2615
8/29/2019,106.0715,105.836,106.679,106.5075,106.5075
8/28/2019,105.735,105.652,106.203,106.126,106.126
8/27/2019,106.1485,105.6015,106.15,105.7605,105.7605
8/26/2019,105.003,104.519,106.286,106.123,106.123
8/23/2019,106.4225,105.269,106.7325,105.3705,105.3705
8/22/2019,106.623,106.2635,106.643,106.43,106.43
8/21/2019,106.232,106.226,106.646,106.625,106.625
8/20/2019,106.634,106.193,106.69,106.227,106.227
8/19/2019,106.26,106.2475,106.687,106.6355,106.6355
8/16/2019,106.088,106.028,106.4895,106.3465,106.3465
8/15/2019,105.8915,105.716,106.5015,106.128,106.128
8/14/2019,106.7335,105.6935,106.7675,105.9105,105.9105
8/13/2019,105.297,105.086,106.936,106.7455,106.7455
8/12/2019,105.5655,105.054,105.692,105.3,105.3
8/9/2019,105.9865,105.2765,106.0475,105.6365,105.6365
8/8/2019,106.266,105.902,106.298,106.0755,106.0755
8/7/2019,106.462,105.5175,106.466,106.2605,106.2605
8/6/2019,105.957,105.535,107.064,106.462,106.462
8/5/2019,106.57,105.793,106.681,105.954,105.954
8/2/2019,107.348,106.5115,107.557,106.587,106.587
8/1/2019,108.787,107.2605,109.3065,107.3375,107.3375
7/31/2019,108.6415,108.491,108.9765,108.7665,108.7665
7/30/2019,108.7825,108.46,108.9375,108.6315,108.6315
7/29/2019,108.668,108.43,108.897,108.7825,108.7825
7/26/2019,108.6405,108.566,108.802,108.662,108.662
7/25/2019,108.183,108.047,108.7475,108.6325,108.6325
7/24/2019,108.2025,107.964,108.271,108.1915,108.1915
7/23/2019,107.8615,107.833,108.285,108.206,108.206
7/22/2019,107.778,107.7045,108.055,107.8765,107.8765
7/19/2019,107.3,107.234,107.9655,107.725,107.725
7/18/2019,107.98,107.214,108.008,107.292,107.292
7/17/2019,108.242,107.946,108.324,107.9475,107.9475
7/16/2019,107.905,107.8235,108.368,108.243,108.243
7/15/2019,107.8865,107.804,108.104,107.915,107.915
