 Date,IP_YOY Close,IP_YOY Adj. Close
12/31/2019,-1,-1
11/30/2019,-0.8,-0.8
10/31/2019,-1.1,-1.1
9/30/2019,-0.1,-0.1
8/31/2019,0.4,0.4
7/31/2019,0.5,0.5
6/30/2019,1.3,1.3
5/31/2019,2,2
4/30/2019,0.9,0.9
3/31/2019,2.8,2.8
2/28/2019,3.5,3.5
1/31/2019,3.9,3.9
12/31/2018,4.1,4.1
11/30/2018,4.1,4.1
10/31/2018,3.8,3.8
9/30/2018,5.6,5.6
8/31/2018,4.9,4.9
7/31/2018,4,4
6/30/2018,3.5,3.5
5/31/2018,2.9,2.9
4/30/2018,3.8,3.8
3/31/2018,3.6,3.6
2/28/2018,3.7,3.7
1/31/2018,2.8,2.8
12/31/2017,2.9,2.9
11/30/2017,3.4,3.4
10/31/2017,2.7,2.7
9/30/2017,1.2,1.2
8/31/2017,1.1,1.1
7/31/2017,1.4,1.4
6/30/2017,1.8,1.8
5/31/2017,2.1,2.1
4/30/2017,1.9,1.9
3/31/2017,1.2,1.2
2/28/2017,-0.2,-0.2
1/31/2017,-0.5,-0.5
12/31/2016,0.5,0.5
11/30/2016,-0.9,-0.9
10/31/2016,-1.3,-1.3
9/30/2016,-1.7,-1.7
8/31/2016,-2,-2
7/31/2016,-2,-2
6/30/2016,-1.7,-1.7
5/31/2016,-2.4,-2.4
4/30/2016,-2.7,-2.7
3/31/2016,-3.4,-3.4
2/29/2016,-2.9,-2.9
1/31/2016,-2.7,-2.7
12/31/2015,-4,-4
11/30/2015,-3.7,-3.7
10/31/2015,-2.3,-2.3
9/30/2015,-1.9,-1.9
8/31/2015,-1.3,-1.3
7/31/2015,-1.2,-1.2
6/30/2015,-1.6,-1.6
5/31/2015,-0.9,-0.9
4/30/2015,-0.2,-0.2
3/31/2015,0.5,0.5
2/28/2015,1.8,1.8
1/31/2015,3.1,3.1
12/31/2014,3.2,3.2
11/30/2014,3.7,3.7
10/31/2014,3.2,3.2
9/30/2014,3,3
8/31/2014,3.2,3.2
7/31/2014,4.1,4.1
6/30/2014,3.4,3.4
5/31/2014,3.2,3.2
4/30/2014,3,3
3/31/2014,2.7,2.7
2/28/2014,2.1,2.1
1/31/2014,1.8,1.8
12/31/2013,2.2,2.2
11/30/2013,2.2,2.2
10/31/2013,2.4,2.4
9/30/2013,2.8,2.8
8/31/2013,2.3,2.3
7/31/2013,1.1,1.1
6/30/2013,1.9,1.9
5/31/2013,1.7,1.7
4/30/2013,1.8,1.8
3/31/2013,2.7,2.7
2/28/2013,1.8,1.8
1/31/2013,1.5,1.5
12/31/2012,2.2,2.2
11/30/2012,2.4,2.4
10/31/2012,1.9,1.9
9/30/2012,2.3,2.3
8/31/2012,2.3,2.3
7/31/2012,3.3,3.3
6/30/2012,3.6,3.6
5/31/2012,3.9,3.9
4/30/2012,3.9,3.9
3/31/2012,2.8,2.8
