 Date,USARetailSalesYoY Close,USARetailSalesYoY Adj. Close
12/31/2019,5.8,5.8
11/30/2019,3.3,3.3
10/31/2019,3.1,3.1
9/30/2019,4.1,4.1
8/31/2019,4.1,4.1
7/31/2019,3.4,3.4
6/30/2019,3.4,3.4
5/31/2019,3.2,3.2
4/30/2019,3.1,3.1
3/31/2019,3.6,3.6
2/28/2019,2.2,2.2
1/31/2019,2.8,2.8
12/31/2018,1.6,1.6
11/30/2018,4.1,4.1
10/31/2018,4.8,4.8
9/30/2018,4.2,4.2
8/31/2018,6.5,6.5
7/31/2018,6.7,6.7
6/30/2018,6.1,6.1
5/31/2018,6.4,6.4
4/30/2018,4.8,4.8
3/31/2018,5.1,5.1
2/28/2018,4.5,4.5
1/31/2018,3.9,3.9
12/31/2017,5.3,5.3
11/30/2017,6.1,6.1
10/31/2017,5.3,5.3
9/30/2017,5.2,5.2
8/31/2017,3.7,3.7
7/31/2017,3.7,3.7
6/30/2017,3.5,3.5
5/31/2017,4,4
4/30/2017,4.8,4.8
3/31/2017,4.7,4.7
2/28/2017,4.4,4.4
1/31/2017,5.7,5.7
12/31/2016,3.7,3.7
11/30/2016,3.3,3.3
10/31/2016,3.6,3.6
9/30/2016,3,3
8/31/2016,2.2,2.2
7/31/2016,2.1,2.1
6/30/2016,2.8,2.8
5/31/2016,2.1,2.1
4/30/2016,2.6,2.6
3/31/2016,2.1,2.1
2/29/2016,3.9,3.9
1/31/2016,2.8,2.8
12/31/2015,2.9,2.9
11/30/2015,1.9,1.9
10/31/2015,1.8,1.8
9/30/2015,2.3,2.3
8/31/2015,2.4,2.4
7/31/2015,3.2,3.2
6/30/2015,2.7,2.7
5/31/2015,2.7,2.7
4/30/2015,1.9,1.9
3/31/2015,3,3
2/28/2015,2.3,2.3
1/31/2015,4.1,4.1
12/31/2014,3.7,3.7
11/30/2014,4.8,4.8
10/31/2014,4.9,4.9
9/30/2014,5.1,5.1
8/31/2014,5.3,5.3
7/31/2014,4.2,4.2
6/30/2014,4.8,4.8
5/31/2014,4.9,4.9
4/30/2014,5.2,5.2
3/31/2014,3.6,3.6
2/28/2014,1.8,1.8
1/31/2014,1.6,1.6
12/31/2013,3.5,3.5
11/30/2013,3.2,3.2
10/31/2013,3.4,3.4
9/30/2013,3,3
8/31/2013,3.8,3.8
7/31/2013,5.3,5.3
6/30/2013,4.9,4.9
5/31/2013,3.7,3.7
4/30/2013,3.1,3.1
3/31/2013,3.1,3.1
2/28/2013,4.2,4.2
1/31/2013,4.3,4.3
12/31/2012,4.3,4.3
11/30/2012,4.1,4.1
10/31/2012,4.1,4.1
9/30/2012,4.6,4.6
8/31/2012,4.7,4.7
7/31/2012,3.8,3.8
6/30/2012,3.4,3.4
5/31/2012,5,5
4/30/2012,5,5
3/31/2012,6.2,6.2
2/29/2012,6.7,6.7
1/31/2012,6.4,6.4
12/31/2011,6.1,6.1
11/30/2011,6.6,6.6
10/31/2011,7.3,7.3
9/30/2011,7.9,7.9
8/31/2011,7.6,7.6
7/31/2011,8,8
6/30/2011,8.2,8.2
5/31/2011,7.4,7.4
4/30/2011,6.6,6.6
3/31/2011,6.7,6.7
2/28/2011,8.1,8.1
1/31/2011,7.4,7.4
12/31/2010,6.7,6.7
11/30/2010,6.7,6.7
10/31/2010,6.4,6.4
9/30/2010,6.1,6.1
8/31/2010,2.9,2.9
7/31/2010,4.1,4.1
6/30/2010,4.2,4.2
5/31/2010,5.9,5.9
4/30/2010,7.8,7.8
3/31/2010,7.5,7.5
2/28/2010,3.3,3.3
1/31/2010,2.7,2.7
12/31/2009,4.2,4.2
11/30/2009,1.5,1.5
10/31/2009,-3.2,-3.2
9/30/2009,-7.7,-7.7
8/31/2009,-6.9,-6.9
7/31/2009,-9.2,-9.2
6/30/2009,-9.7,-9.7
5/31/2009,-11.1,-11.1
4/30/2009,-11.1,-11.1
3/31/2009,-11.5,-11.5
2/28/2009,-9.8,-9.8
1/31/2009,-10.2,-10.2
12/31/2008,-11.3,-11.3
11/30/2008,-10.4,-10.4
10/31/2008,-6,-6
9/30/2008,-1.6,-1.6
8/31/2008,0.3,0.3
7/31/2008,1.4,1.4
6/30/2008,2.4,2.4
5/31/2008,1.3,1.3
4/30/2008,2.1,2.1
3/31/2008,1.2,1.2
2/29/2008,2.1,2.1
1/31/2008,3.3,3.3
12/31/2007,3,3
11/30/2007,5.3,5.3
10/31/2007,4.6,4.6
9/30/2007,4.1,4.1
8/31/2007,2.9,2.9
7/31/2007,2.9,2.9
6/30/2007,2.8,2.8
5/31/2007,4.1,4.1
4/30/2007,2.4,2.4
3/31/2007,3.2,3.2
2/28/2007,2.7,2.7
1/31/2007,1.6,1.6
12/31/2006,4.9,4.9
11/30/2006,3.5,3.5
10/31/2006,4.1,4.1
9/30/2006,4.3,4.3
8/31/2006,5.1,5.1
7/31/2006,3.6,3.6
6/30/2006,4,4
5/31/2006,6.5,6.5
4/30/2006,5.8,5.8
3/31/2006,7.2,7.2
2/28/2006,6.5,6.5
1/31/2006,8.6,8.6
12/31/2005,4.7,4.7
11/30/2005,5.9,5.9
10/31/2005,5.4,5.4
9/30/2005,5.9,5.9
8/31/2005,7.5,7.5
7/31/2005,8.8,8.8
6/30/2005,9.2,9.2
5/31/2005,4.9,4.9
4/30/2005,7.7,7.7
3/31/2005,4.9,4.9
2/28/2005,6.9,6.9
1/31/2005,6.5,6.5
12/31/2004,8,8
11/30/2004,6.3,6.3
10/31/2004,7.2,7.2
9/30/2004,6.1,6.1
8/31/2004,3.6,3.6
7/31/2004,5.2,5.2
6/30/2004,5.1,5.1
5/31/2004,7.6,7.6
4/30/2004,6.1,6.1
3/31/2004,6.9,6.9
2/29/2004,7,7
1/31/2004,4.7,4.7
12/31/2003,4.6,4.6
11/30/2003,5.9,5.9
10/31/2003,5.2,5.2
9/30/2003,6.1,6.1
8/31/2003,5.2,5.2
7/31/2003,4.3,4.3
6/30/2003,4.3,4.3
5/31/2003,4,4
4/30/2003,2.4,2.4
3/31/2003,4.3,4.3
2/28/2003,2.1,2.1
1/31/2003,4.1,4.1
12/31/2002,3.6,3.6
11/30/2002,1.6,1.6
10/31/2002,-1.7,-1.7
9/30/2002,4.5,4.5
8/31/2002,4,4
7/31/2002,3.9,3.9
6/30/2002,2.5,2.5
5/31/2002,1.2,1.2
4/30/2002,2.9,2.9
3/31/2002,2.8,2.8
2/28/2002,2.2,2.2
1/31/2002,1.7,1.7
12/31/2001,2.9,2.9
11/30/2001,4,4
10/31/2001,6.4,6.4
9/30/2001,-0.5,-0.5
8/31/2001,3.1,3.1
7/31/2001,2.5,2.5
6/30/2001,2.5,2.5
5/31/2001,3.7,3.7
4/30/2001,3.6,3.6
3/31/2001,0.5,0.5
2/28/2001,2.5,2.5
1/31/2001,4,4
12/31/2000,2.2,2.2
11/30/2000,4.2,4.2
10/31/2000,5.8,5.8
9/30/2000,6.2,6.2
8/31/2000,4.9,4.9
7/31/2000,5.9,5.9
6/30/2000,7,7
5/31/2000,6.5,6.5
4/30/2000,7.4,7.4
3/31/2000,9.8,9.8
2/29/2000,9,9
1/31/2000,8.6,8.6
12/31/1999,9.4,9.4
11/30/1999,8.4,8.4
10/31/1999,8,8
9/30/1999,9.6,9.6
8/31/1999,10.1,10.1
7/31/1999,8.4,8.4
6/30/1999,6.9,6.9
5/31/1999,7.5,7.5
4/30/1999,7,7
3/31/1999,7.6,7.6
2/28/1999,7.7,7.7
1/31/1999,6.6,6.6
