 Date,CL1 Open,CL1 Low,CL1 High,CL1 Close,CL1 Adj. Close
12/31/2019,61.41,60.39,61.7,60.76,60.76
12/30/2019,61.51,60.76,62.15,61.4,61.4
12/29/2019,61.47,61.41,61.57,61.55,61.55
12/27/2019,61.53,61.13,61.87,61.49,61.49
12/26/2019,61.07,60.77,61.66,61.53,61.53
12/25/2019,60.57,60.57,61.31,61.05,61.05
12/24/2019,60.4,60.35,61.06,61.06,61.06
12/23/2019,60.02,59.92,60.56,60.42,60.42
12/20/2019,61.08,59.81,61.15,60.19,60.19
12/19/2019,60.86,60.79,61.47,61.22,61.22
12/18/2019,60.68,60.21,61.29,60.95,60.95
12/17/2019,60.19,59.91,61.11,60.68,60.68
12/16/2019,59.84,59.83,60.37,60.22,60.22
12/15/2019,59.83,59.82,59.93,59.88,59.88
12/13/2019,59.67,59.24,60.57,59.88,59.88
12/12/2019,58.96,58.67,59.76,59.49,59.49
12/11/2019,59.16,58.14,59.27,58.95,58.95
12/10/2019,58.86,58.53,59.43,59.14,59.14
12/9/2019,59.06,58.28,59.26,58.9,58.9
12/8/2019,59.05,59.04,59.19,59.12,59.12
12/6/2019,58.41,57.6,59.79,59.1,59.1
12/5/2019,58.45,58,59.11,58.33,58.33
12/4/2019,56.43,56.24,58.69,58.47,58.47
12/3/2019,56.11,55.45,56.76,56.42,56.42
12/2/2019,55.97,55.68,56.75,56.1,56.1
12/1/2019,55.41,55.28,55.87,55.87,55.87
11/29/2019,58.14,54.93,58.23,55.49,55.49
11/28/2019,57.95,57.55,58.32,58.12,58.12
11/27/2019,58.37,57.49,58.79,58.06,58.06
11/26/2019,57.98,57.74,58.55,58.36,58.36
11/25/2019,58.03,57.19,58.12,57.95,57.95
11/24/2019,58.02,57.97,58.04,57.99,57.99
11/22/2019,58.42,57.58,58.75,57.94,57.46
11/21/2019,56.82,56.48,58.63,58.58,58.58
11/20/2019,55.24,54.85,57.36,57.12,57.12
