 Date,XAUUSD Open,XAUUSD Low,XAUUSD High,XAUUSD Close,XAUUSD Adj. Close
12/31/2019,"1,515.14","1,514.80","1,524.62","1,517.90","1,517.90"
12/30/2019,"1,510.95","1,510.95","1,515.93","1,515.03","1,515.03"
12/27/2019,"1,511.08","1,507.73","1,514.46","1,510.25","1,510.25"
12/26/2019,"1,503.69","1,497.90","1,512.31","1,511.69","1,511.69"
12/25/2019,"1,499.22","1,495.91","1,499.22","1,495.91","1,495.91"
12/24/2019,"1,485.50","1,484.76","1,500.19","1,498.93","1,498.93"
12/23/2019,"1,478.41","1,477.75","1,485.97","1,485.43","1,485.43"
12/20/2019,"1,478.94","1,476.15","1,480.40","1,477.58","1,477.58"
12/19/2019,"1,475.55","1,473.47","1,481.02","1,479.40","1,479.40"
12/18/2019,"1,476.22","1,470.76","1,479.16","1,475.77","1,475.77"
12/17/2019,"1,476.14","1,474.84","1,479.80","1,475.75","1,475.75"
12/16/2019,"1,475.84","1,473.50","1,479.30","1,476.46","1,476.46"
12/13/2019,"1,469.60","1,463.64","1,478.02","1,476.53","1,476.53"
12/12/2019,"1,474.78","1,465.51","1,485.80","1,469.36","1,469.36"
12/11/2019,"1,464.37","1,463.07","1,478.06","1,474.86","1,474.86"
12/10/2019,"1,461.62","1,460.20","1,468.51","1,464.64","1,464.64"
12/9/2019,"1,459.98","1,458.84","1,465.05","1,460.80","1,460.80"
12/6/2019,"1,475.93","1,459.41","1,476.84","1,460.49","1,460.49"
12/5/2019,"1,474.43","1,473.70","1,480.18","1,476.10","1,476.10"
12/4/2019,"1,477.36","1,472.17","1,483.98","1,474.90","1,474.90"
12/3/2019,"1,462.70","1,460.29","1,480.85","1,477.36","1,477.36"
12/2/2019,"1,463.82","1,454.54","1,464.61","1,463.02","1,463.02"
11/29/2019,"1,456.28","1,453.57","1,466.59","1,463.93","1,463.93"
11/28/2019,"1,454.33","1,454.33","1,457.94","1,456.00","1,456.00"
11/27/2019,"1,461.38","1,453.08","1,461.74","1,454.71","1,454.71"
11/26/2019,"1,455.04","1,452.70","1,462.50","1,462.40","1,462.40"
11/25/2019,"1,462.36","1,454.56","1,462.36","1,454.60","1,454.60"
11/22/2019,"1,464.49","1,462.47","1,472.64","1,462.87","1,462.87"
11/21/2019,"1,471.40","1,463.30","1,475.54","1,465.06","1,465.06"
11/20/2019,"1,472.52","1,466.40","1,478.70","1,472.57","1,472.57"
11/19/2019,"1,471.15","1,465.35","1,475.01","1,472.37","1,472.37"
11/18/2019,"1,467.82","1,457.02","1,473.75","1,471.77","1,471.77"
11/15/2019,"1,471.16","1,462.99","1,471.40","1,466.83","1,466.83"
11/14/2019,"1,463.46","1,461.61","1,473.85","1,470.20","1,470.20"
11/13/2019,"1,456.52","1,456.44","1,466.59","1,463.83","1,463.83"
11/12/2019,"1,455.93","1,447.65","1,459.82","1,458.40","1,458.40"
11/11/2019,"1,458.96","1,448.77","1,466.41","1,455.47","1,455.47"
11/8/2019,"1,468.60","1,456.81","1,472.60","1,459.09","1,459.09"
11/7/2019,"1,490.51","1,462.94","1,492.10","1,468.66","1,468.66"
11/6/2019,"1,483.67","1,483.33","1,492.30","1,491.10","1,491.10"
11/5/2019,"1,509.69","1,481.60","1,509.69","1,484.19","1,484.19"
11/4/2019,"1,514.10","1,505.37","1,514.10","1,508.38","1,508.38"
11/1/2019,"1,512.75","1,505.51","1,514.70","1,514.10","1,514.10"
10/31/2019,"1,495.78","1,494.10","1,513.53","1,512.24","1,512.24"
10/30/2019,"1,487.98","1,483.46","1,495.89","1,495.64","1,495.64"
10/29/2019,"1,492.64","1,485.00","1,494.68","1,488.04","1,488.04"
10/28/2019,"1,504.71","1,490.35","1,507.81","1,492.67","1,492.67"
10/25/2019,"1,503.19","1,500.94","1,517.91","1,504.39","1,504.39"
10/24/2019,"1,491.95","1,488.54","1,503.89","1,503.08","1,503.08"
10/23/2019,"1,487.80","1,487.78","1,495.35","1,491.78","1,491.78"
10/22/2019,"1,484.32","1,481.97","1,488.69","1,487.93","1,487.93"
10/21/2019,"1,490.13","1,482.41","1,494.47","1,484.16","1,484.16"
10/18/2019,"1,491.91","1,485.55","1,494.00","1,490.26","1,490.26"
10/17/2019,"1,488.82","1,485.15","1,496.54","1,492.37","1,492.37"
10/16/2019,"1,481.16","1,479.21","1,490.60","1,489.70","1,489.70"
10/15/2019,"1,493.13","1,479.31","1,497.67","1,481.18","1,481.18"
10/14/2019,"1,489.02","1,483.38","1,496.56","1,493.09","1,493.09"
10/11/2019,"1,493.63","1,475.36","1,503.30","1,488.20","1,488.20"
10/10/2019,"1,505.60","1,492.16","1,516.10","1,493.51","1,493.51"
10/9/2019,"1,505.60","1,500.59","1,509.67","1,505.45","1,505.45"
10/8/2019,"1,493.45","1,488.82","1,508.06","1,505.70","1,505.70"
10/7/2019,"1,504.75","1,490.65","1,509.30","1,493.30","1,493.30"
10/4/2019,"1,505.00","1,498.43","1,510.00","1,504.75","1,504.75"
10/3/2019,"1,499.55","1,496.70","1,516.63","1,505.04","1,505.04"
10/2/2019,"1,479.30","1,474.92","1,504.47","1,499.99","1,499.99"
10/1/2019,"1,474.87","1,459.43","1,489.38","1,479.58","1,479.58"
9/30/2019,"1,497.02","1,466.95","1,499.35","1,472.45","1,472.45"
9/27/2019,"1,504.54","1,489.22","1,507.34","1,496.81","1,496.81"
9/26/2019,"1,503.77","1,502.90","1,510.67","1,504.69","1,504.69"
9/25/2019,"1,531.61","1,502.60","1,534.20","1,503.82","1,503.82"
9/24/2019,"1,522.27","1,517.53","1,535.10","1,531.35","1,531.35"
9/23/2019,"1,516.18","1,512.15","1,525.70","1,522.46","1,522.46"
9/22/2019,"1,516.18","1,516.18","1,516.18","1,516.18","1,516.18"
9/20/2019,"1,498.83","1,498.20","1,516.69","1,516.57","1,516.57"
9/19/2019,"1,494.01","1,489.49","1,503.55","1,498.61","1,498.61"
9/18/2019,"1,501.43","1,487.29","1,510.84","1,493.39","1,493.39"
9/17/2019,"1,498.44","1,493.91","1,507.00","1,501.50","1,501.50"
9/16/2019,"1,489.57","1,489.57","1,511.70","1,498.47","1,498.47"
9/13/2019,"1,499.07","1,486.36","1,507.60","1,488.81","1,488.81"
9/12/2019,"1,496.87","1,489.56","1,521.80","1,499.10","1,499.10"
9/11/2019,"1,485.82","1,485.82","1,498.20","1,496.58","1,496.58"
9/10/2019,"1,498.96","1,485.52","1,499.78","1,485.90","1,485.90"
9/9/2019,"1,508.03","1,498.51","1,520.74","1,498.74","1,498.74"
9/6/2019,"1,519.04","1,503.63","1,527.66","1,506.66","1,506.66"
9/5/2019,"1,552.30","1,512.83","1,553.00","1,519.05","1,519.05"
9/4/2019,"1,547.72","1,534.81","1,555.96","1,552.87","1,552.87"
9/3/2019,"1,529.00","1,522.40","1,549.19","1,548.79","1,548.79"
9/2/2019,"1,520.98","1,520.98","1,532.40","1,529.00","1,529.00"
8/30/2019,"1,527.55","1,517.67","1,532.46","1,520.98","1,520.98"
8/29/2019,"1,540.17","1,520.51","1,549.56","1,526.57","1,526.57"
